Unnamed: 0,Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6,Answer_1
4609,f62905ddb74fa8e,What color are the Grecian Cherries?,red,Where are the two whole cherries located?,located,What material is the cutting board made of?,wooden,Where are the two whole cherries positioned in the image?,on the upper left side,What color are the mint leaves on top of the cherry mixture??,green,cherry
4610,65b6bc58934622d,What color is the bowl?,white,What is the ice cream served in?,bowl,What is the texture of the ice cream?,creamy,What color are the flecks in the ice cream?,red,Where is the bowl set??,in a small white bowl,cherry
4611,12f3ac0a5e860ea,What is the state of the cherries in the cake?,dried,What type of dessert is shown in the image?,cake,What color are the dried cherries in the cake?,red,What is the cake resting on?,is,What is the fork positioned in front of??,on a plate,cherry
4612,03b84f28a1c1ec9,What color are the vibrant streaks in the cake?,pink,What type of dessert is shown in the image?,cake,Where does the cake rest?,rests on,What fruit is visible on the cake?,cherries,What is the cake infused with??,infused,cherry
4613,666a063d4e33a82,What color is the cherry fluff?,pink,What does the cherry fluff do to each goblet?,fills,What fruit is visible in the cherry fluff?,cherry,What type of glass are the goblets made of?,clear,Where is the goblet located relative to the front-center one??,to the left,cherry
4614,4429e72ffb09829,What color is the ice cream?,light,What color are the cherries?,pink,Where are the two cherries located?,submerged within,What fruit is included in the image?,cherries,Where are the four additional cherries located??,clustered,cherry
4615,c63899b42eac9a2,What color is the Bing Cherry Salad?,red,What type of food is primarily deep red in the image?,salad,What color is the plate under the salad?,white,What color are the mint leaves on top of the whipped cream?,green,Where is the whipped cream located in relation to the salad??,on top of,cherry
4617,dac09951cf2e65b,What color is the sauce coating the chicken?,light brown,What type of meat is featured in the dish?,chicken,What color are the cherries in the dish?,red,Where are the bright orange citrus fruit slices positioned?,around the perimeter,How are the small slivers of almonds added to the dish??,sprinkled,cherry
4618,03ab73d994116ad,What color is the cherry prosecco syrup?,brown,What fruit is used in the dessert?,cherry,What does the cherry torte do to the plate?,takes,What color is the single cherry on top?,red,Where is the single dark cherry placed??,on top of,cherry
4619,2c487448e370df0,What color is the bottom layer of the dessert?,tan,What type of dish is the cherry crunch?,dessert,What texture does the crumble topping have?,crunch,What is the vibrant red layer made of?,filling,Where is the light brown crumble topping located??,on top,cherry
4620,969daee54e36cb8,What material is the pot made of?,metal,What color are the cherries in the image?,cherry,What color are the dumplings?,off-white,Where is the Cherry Slump shown?,in the image,What is the cherry sauce doing around the dumplings??,bubbling,cherry
4621,1786424a8308bc7,What color is the doily?,white,What type of food is arranged on the doily?,cookies,What color are the glace cherries on top of the cookies?,red,Where are the glace cherries located?,on top,What color are the crushed corn flakes coating the cookies??,golden-yellow,cherry
4622,b7eee800ad73d67,What is inside the cherry pie?,filling,Where does the scoop of ice cream sit?,sits,What color is the crust of the cherry pie?,golden-brown,What type of fruit is used in the pie?,cherry,Where is the rest of the pie located??,to the left,cherry
4623,8ab0084d1cf81de,What color is the crust of the pie?,tan,What is the majority of the pie filled with?,filling,What color is the cherry topping?,red,Where is the white layer located in the pie?,with,What type of dessert is the Cherry Delight??,pie,cherry
4624,2a5f8223477cc09,What color is the chocolate covering the cherries?,light-brown,What fruit is covered in chocolate?,cherries,What color is the top of each cherry?,dark-red,Where are the chocolate-covered cherries placed?,on a white surface,"What do the long, thin, red stems do??",extend,cherry
4625,243e6ca1860321f,What fruit is used in the cake?,cherries,What is covering the cherries?,coating,What color is the frosting?,white,What type of dessert is being described?,cake,Where are the cherries positioned??,on the surface,cherry
4626,6e50d0b4b343aa4,What is the color of the cake?,light yellow,What type of dessert is shown in the image?,cake,What color are the cherries on the cake?,red,What color are the stems of the cherries next to the cake?,with brown stems,What is the white layer on the cake made of??,sugar,cherry
4627,d2ae8b93b893f46,What is the texture of the chocolate covering the cherries?,glossy,What type of fruit is shown in the image?,cherries,What color is the chocolate covering the cherries?,brown,What is visible in the center of one of the cherries?,showing,How are the cherries arranged??,close together,cherry
4628,76b8df4b6b04d23,What color is the liquid in the glass?,red,What material is the glass made of?,glass,What color are the crushed cherries at the bottom of the glass?,dark,What is attached to the cherries at the bottom left of the glass?,with stems,What color is the lemon slice on the rim of the glass??,yellow,cherry
4629,5c576dd15cd1dbd,What color is the cherry compote?,red,What fruit is used to make the compote?,cherries,Where are some of the cherries located in the bowl?,floating,What material is the bowl made of?,glass,Where are the cherries contained??,within the bowl,cherry
4630,2dd9daa8a687b7c,What is the Door County Cherry Bounce contained in?,jar,Where is the Door County Cherry Bounce contained?,contained,What material is the jar made of?,glass,What color are the cherries at the top compared to the liquid?,darker,Where are some of the cherries located in the jar??,at the top,cherry
4631,ba7f04f1d8d6bc6,What does the cherry compote cover?,covers,What fruit is used in the compote?,cherry,What food item is the compote on top of?,pancakes,What is the color of the cream on top of the compote?,whipped,Where is the cherry compote located??,on top of,cherry
4632,82df16d290e2f5e,What color are the cherries in the left jar?,dark,What type of fruit is preserved in the jars?,cherries,What color are the cherries in the middle jar?,red,What color are the cherries on the spoon?,in color,Where is the single cherry placed??,on a spoon,cherry
4633,7651b58f5f3b4b0,What color is the exposed portion of the first cherry?,red,What type of fruit is dipped in chocolate?,cherries,What color is the chocolate coating on the cherries?,brown,Where is the first cherry located?,on the left,What is the stem of the second cherry doing??,extending,cherry
4634,cd012721ae44341,What occupies the bottom half of the image?,occupies,What is the bing cherry gelatin mold made of?,gelatin,What color is the whipped cream?,white,Where are the green mint leaves positioned?,on the whipped cream,What color are the mint leaves??,green,cherry
4635,12a2d51eee52930,What fruit is associated with the drink?,cherry,What color is the liquid near the top of the drink?,pink,What type of beverage is shown in the image?,drink,What color is the lime wedge?,green,Where is the lime wedge placed??,on the rim,cherry
4636,ad2688f2b458056,What color are most of the Chex cereal pieces in the image?,brown,What is the Chex cereal combined with in the image?,mix,What is the appearance of the cereal pieces that have a glossy finish?,coated with,What color are the shredded coconut pieces in the mix?,golden,How is the mix arranged in the image??,irregular,chex
4638,06b8500c854c784,What color is the bowl?,orange,How are the Chex cereal pieces arranged in the bowl?,scattered,What type of snack mix is in the bowl?,Chex Mix,What type of nuts are mixed in the bowl?,peanuts,Where are the peanuts located??,in the bowl,chex
4639,0e6122f4e5ac282,What color are the Chex cereal pieces?,brown,What is the Chex Mix served in?,bowl,What spice is mentioned in the description?,cinnamon,What color is the bowl?,off-white,Where are the Chex cereal pieces located??,in the bowl,chex
4640,3af49aa7fd9d68c,What color are most of the Chex pieces?,beige,What is the brand of the cereal?,Chex,What color is the powdery substance on the Chex pieces?,white,What color are some of the pieces near the center of the image?,light green,Where are the Chex pieces arranged??,in a pile,chex
4641,c25fec0f2ee885f,Are the Chex pieces scattered throughout the tray?,scattered,What is the Chocolate Chex Caramel Crunch served on?,tray,What color are the Chex pieces?,chocolate,What is the color of the Chex pieces?,golden-brown,Where are the M&Ms located in relation to the Chex pieces??,between,chex
4642,04d3d1bf035a75b,What type of seeds are used in the pudding?,chia,How full is the glass jar with chia pudding?,filled,What color are the coconut flakes on top of the pudding?,white,What is scattered on the surface of the chia pudding?,raisins,Where is the jar in the background placed??,on the surface,chia
4643,c9880da0694ed93,What type of seeds are in the milk?,chia,Where is the black straw inserted?,is inserted,What type of container is the chia milk in?,glass jar,What color are the chia seeds?,black,Where is the glass jar positioned in the image??,in the center,chia
4644,79d1643176b5aa3,What color is the chia porridge?,light,What fruit is placed on top of the porridge?,blueberries,What color are the blueberries?,blue,What type of container is the porridge in?,jar,Where are the blueberries placed??,on top,chia
4645,52d4404f465c530,What type of seeds are visible in the drink?,chia seeds,How are the chia seeds distributed in the drink?,dispersed,What is the color of the liquid in the glass jar?,grayish,What type of container is the drink in?,glass jar,Where are the chia seeds concentrated in the drink??,towards the upper surface,chia
4646,f291250dcc17d2d,What color is the Bananutter-Chia spread?,brown,What is the consistency of the Bananutter-Chia spread?,thick,How are the chia seeds arranged in the spread?,distributed,How does the Bananutter-Chia spread look?,appears,Where is the texture of the spread visible??,across its surface,chia
4647,78c43ecf45462dc,What flavor is the chicken described as?,spicy,What type of meat is shown in the image?,chicken,What color is the sauce on the chicken?,brown,How are the chicken pieces positioned?,in a cluster,What color are the chicken pieces??,golden-brown,chicken
4648,600aed765d1c6a2,What color are the chicken pieces?,light brown,What type of meat is used in the dish?,chicken,What color are the carrot strips?,orange,What are the carrot strips intertwined with?,with the chicken,What ingredient is dark brown or black and located on the left side??,mushrooms,chicken
4649,9e3bce867542de5,What is the exterior of the chicken coated with?,glazed,What is the chicken sitting on?,plate,What color is the exterior of the chicken?,brown,Where is the chicken sitting?,sitting on,What color hints are visible on the glazed chicken??,orange,chicken
4650,683d6664f2e16c0,What type of food is in the casserole dish?,dish,What covers the majority of the dish?,covers,What color is the casserole dish?,blue,What color is the crumb topping?,tan,Where is the crumb topping spread??,across the top,chicken
4651,284ec88ebe2e51a,What color is the grilled chicken?,golden-brown,What type of meat is shown in the image?,chicken,Where are the green herbs located in relation to the chicken?,green,Where are the herbs positioned in the image?,beneath the chicken,What is visible on the surface of the grilled chicken??,appearing,chicken
4653,ba513df59aee202,What color are the sesame chicken pieces?,brown,What type of meat is shown in the image?,chicken,How are the sesame chicken pieces cooked?,grilling,What color are the tomato slices in the image?,red,Where are the sesame seeds located on the chicken??,on the surface,chicken
4654,1e3f3ddd8e96695,What color are the diced carrots in the stew?,orange,What is the color of the ground chicken in the stew?,browned,What type of meat is used in the stew?,chicken,Where is the stew located in the image?,on top of,What herb is placed on top of the stew??,parsley,chicken
4655,efa58608c690e21,What type of meat is in the dish?,chicken,How is the chicken prepared?,diced,What type of dish is the spaghetti in?,in a clear glass baking dish,How are the red peppers distributed in the dish?,scattered,What is the texture of the sauce??,creamy,chicken
4656,50b68fa2f70f2ef,What color is the chicken?,white,What type of meat is used in the dish?,chicken,What color are the broccoli florets?,green,In what direction are the broccoli florets positioned?,upward,What is the chicken wrapped with??,prosciutto-wrapped,chicken
4657,727fed34c9f7896,What color is the chicken breast?,white,What type of meat is featured in the image?,chicken,What color is the pesto on the chicken?,green,Where is the chicken placed?,on top of,What is located beneath the chicken??,spaghetti,chicken
4658,4d7a69b31a5aa6d,What color is the chicken?,light,What type of meat is shown?,chicken,What color is the rice?,white,Where is the chicken located?,is located,Where is the chicken positioned on the plate??,on the right,chicken
4659,b9031e99f7e662d,What is the chicken in the dish doing?,cooking,What type of meat is featured in the dish?,chicken,What color is the plate the dish is served on?,white,What color are the bell peppers in the dish?,green,Where is some of the chicken located on the plate??,on the right,chicken
4660,ecd36bfe778345b,Where is the chicken located in the image?,bottom left,What type of meat is in the bottom left quadrant?,chicken,What color are the peas?,green,What color are the carrots?,orange,How are the carrots arranged??,stacked on,chicken
4661,1f2ff6737d7c924,What type of dish is the chicken?,BBQ,What type of meat is on the plate?,chicken,What color is the BBQ chicken?,reddish-brown,Where is the spicy BBQ chicken located?,located,On which side of the plate is the chicken located??,on the right side,chicken
4662,58cfca6a1e2b1e3,What color is the chicken barbecue?,reddish-orange,What type of meat is shown in the image?,chicken,What cooking method is used for the chicken?,barbecue,How does the barbecue sauce appear on the chicken?,glossy,Where is the chicken barbecue positioned in the image??,on the upper right side,chicken
4663,f0bc5f6eb400aaf,What color is the chicken on top?,golden,What type of meat is shown in the image?,chicken,What color is the chicken on the sides?,brown,What color is the sauce surrounding the chicken?,reddish-brown sauce,Where is the reddish-brown sauce located??,on and around the chicken,chicken
4664,1d0a228f9e86d47,Are the enchiladas described as easy to make?,easy,What type of dish is shown in the image?,enchiladas,What color is the melted cheddar cheese on the enchiladas?,orange,What color is the tomato sauce on the enchiladas?,red,Where are the enchiladas placed in the image??,in a row,chicken
4665,fd9d856257837cb,What type of meat is featured in the dish?,chicken,How is the dish presented?,is presented,What color is the plate?,on a black plate,What is on top of the chicken?,cheese,What type of tomatoes are used in the dish??,tomatoes,chicken
4666,b4935d817c010b1,What is the appearance of the chicken's exterior?,glossy,What type of meat is shown in the image?,chicken,What color is the exterior of the chicken?,brown,Where is the lighter color of the chicken located?,underneath,Where is the chicken arranged in the image??,on the upper right,chicken
4667,c410ff22b21e700,What color is the interior of the mock chicken slices?,beige,What type of meat is being represented by the mock chicken?,chicken,What color is the crust on the mock chicken slices?,brown,Where is the pile of cooked grains or rice located relative to the mock chicken?,to the left,What is the shape of the mock chicken in the image??,slices,chicken
4668,e96ced7b1bf2938,What color is the plate in the foreground?,green,What shape is the slice of pie in the foreground?,triangular,What color is the crust of the pie?,tan,"What type of dish is the Plant-Based ""Chicken"" Pot Pie?",pie,Where is the remaining pie located??,in the background,chicken
4669,e59b02732fcd3c3,What color are the chickpeas in the salad?,brown,What type of beans are used in the salad?,chickpeas,What color are the tomatoes in the salad?,red,Where are the green basil leaves placed?,on top of,What material is the surface to the right of the bowl made of??,wooden,chickpea
4670,bc11774736e38a0,What is the texture of the cheese in the skillet?,cheesy,What type of pan is used to cook the dish?,skillet,What color is the tomato-based sauce?,red,Where are the chickpeas located in the skillet?,on the right side,What color are the fresh herbs sprinkled on the dish??,green,chickpea
4671,278fa590b76f763,What is the primary color of the roasted chickpeas?,brown,What type of food is located centrally within the bowl?,chickpeas,Where are the roasted chickpeas located?,bowl,What is the reddish-orange powder doing to some of the chickpeas?,dusted,Where are the chickpeas densely packed??,within the bowl,chickpea
4672,41bcefa78fccef3,What color are the chickpeas that indicate crispness?,golden-brown,What type of food is shown in the image?,chickpeas,How are the chickpeas arranged in the cup?,overflowing,What color is the cup containing the chickpeas?,white,Where are the chickpeas placed in the image??,in the cup,chickpea
4673,d076ddff11cc07c,What is the main dish in the image?,curry,How are the chickpeas arranged in the upper-left area of the plate?,packed,What is the base of the dish?,rice,What color are the cilantro leaves scattered throughout the curry?,green,Where is the chickpea curry resting??,atop a bed,chickpea
4674,ae284f737735b65,What is the color of the glass bowl?,clear,What is the main ingredient in the bowl?,chickpeas,What color are the chickpeas?,beige,How are the green herbs distributed in the bowl?,scattered,Where are the chickpeas placed??,inside a clear glass bowl,chickpea
4675,a6657a41b408e79,What color is the Chana Masala?,orange-brown,What does the Chana Masala cover?,covers,What is the Chana Masala served with?,rice,What are the tomatoes in the dish like?,tomatoes,Where are the chickpeas visible??,throughout the dish,chickpea
4676,41d2cf916893e41,What color are the chickpeas?,tan,What is the main ingredient in the dish?,chickpeas,What color is the curry sauce?,sauce,What color is the curry sauce?,reddish-brown,Where is the garnish of green cilantro located??,on the upper left side,chickpea
4677,e1b22bba3510bcb,What color are most of the chickpeas?,golden-brown,What type of food is shown in the bowl?,chickpeas,What color are the charred areas of the chickpeas?,black,How full is the bowl with chickpeas?,filling,What color is the bowl??,in the bowl,chickpea
4678,39ceb96a05a8fb4,What color is the plate?,white,Are the orange sweet potato chunks scattered throughout the dish?,scattered,What color are the sweet potato chunks?,orange,What type of beans are present in the dish?,chickpeas,Where is the dish presented??,on a white plate,chickpea
4679,8a9ac41d382c893,What temperature are the chickpeas described as?,warm,What is the main ingredient in the image?,chickpeas,What color are the chickpeas?,brownish-orange,How are the chickpeas arranged in the image?,scattered,Where are most of the chickpeas located in the image??,in the top,chickpea
4680,74f4afa84aba27a,Are the Pakistani Spicy Chickpeas spicy?,spicy,What is the main ingredient in the dish on the right side?,chickpeas,Are the chickpeas mixed with other ingredients?,mixed,What color are the tomatoes mixed with the chickpeas?,red,What is the color of the rice underneath the food items??,rice,chickpea
4681,4bbed30314dc4ea,What color are the roasted chickpeas?,golden,What type of food is shown in the bowl?,chickpea,What shade is the seasoning on the chickpeas?,brown,Where are the chickpeas placed?,in a bowl,Where is the parsley located in the bowl??,located,chickpea
4682,35c4df9110c6c41,What color are the chickpeas in the image?,light brown,What is the chickpeas doing in the bowl?,filling,What is the chickpeas contained in?,bowl,What is the main ingredient shown in the image?,chickpeas,Where is the bowl located in the image??,on the right side,chickpea
4683,7c08605ea25a83a,What color are the chickpeas?,golden-brown,What is the main ingredient in the dish?,chickpeas,How are the spices arranged on the chickpeas?,scattered,What color is the bowl?,white,Where are the specks of spice located??,on the bowl,chickpea
4684,061f9094142c1e3,What color is the scramble?,yellow,What color are the diced tomatoes in the scramble?,red,Where are the white shards of cheese located?,sprinkled on top,What utensil is placed on the plate?,fork,What texture do the tortilla chips have??,crispy,chilaquile
4685,ce67f2d7431324a,What color is the plate?,white,What is the name of the dish?,chilaquiles,What color are the scrambled eggs?,yellow,Where are the fried tortilla pieces located?,in the eggs,What color are the jalapeno slices??,green,chilaquile
4686,16e387738456796,What color is the sauce coating the tortilla chips?,red,What is the base ingredient of the dish?,tortilla chips,What color is the plate?,white,What color are the avocado slices?,green,Where is the fried egg positioned on the plate??,towards the bottom,chilaquile
4687,a13d8167e99fbaa,What color is the pan?,black,What color are the cilantro sprigs?,pan,How are the black beans distributed in the pan?,green,Where are the chopped red onions placed?,scattered,Where are the fresh green cilantro sprigs located??,on top,chilaquile
4688,5544ff98458a099,What color is the cream on top of the chilaquiles?,yellow,What is the name of the dish in the skillet?,chilaquiles,What color is the diced avocado?,green,Where is the dollop of cream placed?,with,What color is the knife inserted into the chilaquiles??,silver,chilaquile
4690,71225fd6c0611f6,What color is the queso mixture primarily?,golden-orange,What is the queso mixture described as?,mixture,What color are the darker flecks in the queso mixture?,browned,Where is the queso mixture contained?,in the dish,What is the queso contained in??,is,chile
4691,04024204edd94f1,What color is the broth in the stew?,green,What is the consistency of the stew?,mix,How would you describe the texture of the stew?,thick,What vegetable is visible in the stew?,potatoes,Where are the potatoes located in the image??,in the bowl,chile
4692,5fc065c09f29fb0,What is the Chiles Rellenos placed on?,plate,What does the sauce nearly do to the plate?,covers,What color is the plate?,gray,What color is the sauce around the Chiles Rellenos?,reddish-orange,Where are the cilantro leaves scattered??,around the Chiles Rellenos,chile
4693,92fad03ef78c799,What color is the chile relleno described as?,golden,What is the filling inside the chile relleno made of?,cheese,What color is the red sauce described as?,red-orange,Where are the cilantro leaves placed?,on top,Where is the green stem located on the chile relleno??,stem,chile
4694,e63472e22505a4c,What type of dish is shown in the bowl?,stew,What color is the exterior rim of the bowl?,brown,How are the meat chunks distributed in the stew?,scattered,What vegetable is pale white and distributed throughout the stew?,potato,Where is the stew located??,in a bowl,chile
4695,0e5b1983eab375b,What is the texture of the beef?,tender,What type of meat is used in the stew?,beef,What color is the sauce?,red,Where are the cilantro leaves placed?,across the top,What herb is scattered across the top of the beef??,cilantro,chile
4696,332c7b8e45aafc9,What color is the Chiles Rellenos?,golden-yellow,What dish is in the lower-left of the image?,Chiles Rellenos,What is the green stem doing?,extending,What color is the stem of the Chiles Rellenos?,green,Where is the Chiles Rellenos located in relation to the rice and corn??,next to,chile
4697,e9eef43cd8dae4b,How would you describe the appearance of the New Mexico Red Chile Sauce?,rich,What is the New Mexico Red Chile Sauce contained in?,sauce,Where is the bowl positioned in the image?,resting on,What is the bowl resting on?,bowl,What is partially covering the white square plate??,covered,chile
4698,e1d13072c097a0c,What is the main color of the eggs?,Eggs,What color are the streaks on the eggs?,yellow,What texture do the eggs have?,mottled,What do the chives do on top of the eggs?,cross,Where are the eggs located in the image??,of the image,chile
4700,4cb267bb201f827,What color is the stew base?,green,Are the chunks of meat visible in the stew?,visible,What color is the cooked meat in the stew?,meat,What color is the bowl containing the stew?,white,Where is the garnish of cilantro leaves placed??,on the left,chile
4701,ada5ab49068373c,What color are the poblano peppers?,green,What type of peppers are used in the dish?,peppers,"What color is the ""nogada"" sauce?",white,Where are the Chiles en Nogada placed?,on a plate,What kind of plate is used for serving the dish??,decorative,chile
4702,985448d21489b08,What shade of red is the chile paste?,dark,What does the chile paste do to the bowl?,fills,What is the color of the bowl?,bowl,What color is the bowl?,black,Where is the bowl positioned??,towards the right,chile
4703,4023e13725c8634,What color are the chili peppers?,green,What type of chili is in the bowl?,chili,What color is the bowl?,white,What color are the chunks of meat?,brown,Where are the chopped green herbs scattered??,across the surface,chili
4704,7ccd6080de42418,What is the food served in?,bowl,Are the scallions sprinkled on top?,sprinkled,What color is the shredded chicken?,yellow,What type of meat is in the bowl?,chicken,Is the chicken located in the bowl??,in the bowl,chili
4705,6afc3d4b0ceb9be,Where is the bowl of chili located in the image?,located in,What type of chili is in the bowl?,chili,What color is the bowl?,brown,What is the texture of the cheese on top of the chili?,shredded,What is the cheese on top of the chili??,sprinkled,chili
4706,95ace7ed1175a8d,What color is the chili?,reddish-brown,What ingredient is mentioned alongside cheese?,chili,What color is the cheese?,yellow,Where is the cheese located?,on top of,What is on top of the chili??,cheese,chili
4707,4b248035550980e,What color is the pasta in the casserole?,golden-brown,What type of dish is the main component of the casserole?,pasta,What color is the melted cheese in the casserole?,yellow,What is the pasta mixed with in the casserole?,mixed with,What type of dish is the food described as??,casserole,chili
4708,7bae9e3e598aff1,What is the size of the pot?,large,What is the main ingredient in the dish?,chili,What color is the broth?,red,Where is the chili located?,in a pot,What type of meat is in the chili??,sausage,chili
4710,2d6c3a0608adcf2,What color is the chili?,reddish-brown,What does the chili fill?,fills,What color is the bowl?,white,What is sprinkled on top of the chili?,cheese,Where is the cheese located??,on top of,chili
4711,e7fd5a4ab9554be,What type of chili is described as hearty?,hearty,What color is the ground beef in the chili?,chili,Where are the shredded cheeses located?,reddish-brown,What is scattered on top of the chili?,on top of,What are the beige squares partially hidden underneath??,cheeses,chili
4712,844f42f3910893d,What color are the kidney beans in the chili?,red,What type of beans are used in the chili?,beans,What type of protein is included in the chili?,meat,What color are the chunks of meat in the chili?,brownish-gray,Where is the dollop of white sour cream placed??,atop the chili,chili
4713,8744b079c38ac9b,What color are the egg-like shapes?,yellow,What color is the shredded cheese?,white,Where is the chiliquilla located?,located inside,What is the texture of the cheese on the eggs?,shredded,What are the white shapes in the pan??,eggs,chili
4714,b316d2cc5d26664,What is the color of the broth in the chili?,white,Where is the chili located in the image?,contained within,What is the color of the broth in the chili?,reddish-brown,What type of beans are visible in the chili?,kidney beans,What is visible within the chili besides the beans and meat??,visible,chili
4715,2da0fe97cd20612,What is the color of the chili broth?,white,What is the color of the ground pork in the chili?,chili,Where are the green bell peppers distributed in the chili?,reddish-brown,What color are the diced carrots in the chili?,throughout,What color are the macaroni noodles in the chili??,yellow,chili
4717,d67a03ae005bd56,What color is the chili?,white,What type of chili is this?,chili,What is the texture of the chili?,creamy,What color is the shredded cheese?,yellow,Where are the sprigs of green cilantro located??,across the top,chili
4718,7d54920a380a9ba,How would you describe the consistency of the stew?,thick,What type of dish is the Maverick Moose Chili?,stew,What color is the base liquid of the stew?,brown,Where are the kidney beans located in the stew?,throughout,What are the irregularly shaped pieces distributed randomly in the stew??,meat,chili
4719,3be36eed73027a9,What is the overall appearance of the seafood chili?,vibrant,What spice is likely used in the dish?,chili,What color is the broth in the dish?,reddish-brown,What type of seafood is visible in the dish?,shrimp,Where are the shrimp located in the dish??,throughout,chili
4720,e3b55536b9bd80e,What is the texture of the broth?,creamy,What is the color of the bowl?,bowl,What color are the tortilla chips?,red,Where does the silver spoon rest?,rests within,What color are the bits of corn??,yellow,chili
4721,64cce4baab1ca85,What type of chili is used in the dish?,chili,How are the green chili pieces distributed in the dish?,scattered,What are the green chili pieces doing to the meat?,covering,Where are many of the green chili pieces located in the dish?,centrally,Where can green chili pieces be found in the dish??,on the left,chili
4723,df2640db6783696,What color is the chili?,brownish-red,What is the chili served in?,bowl,Does the chili fill the bowl?,fills,What color are the avocado slices?,green,Where are the avocado slices placed??,on top of,chili
4724,57f33c4e0ca8300,What color is the base of the chili?,reddish-brown,Does the chili contain chili?,chili,What color is the bowl?,white,Are the chopped green scallions scattered?,scattered,Where is the shredded white cheese placed??,on top of,chili
4725,d45f6f7013acabc,What color is the chili powder in the bowl?,reddish-brown,Where is the chili powder mostly located?,bowl,What material is the spoon made of?,wooden,What color are the bits in the chili powder?,green,Where is the wooden spoon resting??,in the bowl,chili
4726,778bab5004daa19,What color are the chimichangas?,brown,What type of food is shown in the image?,chimichangas,What color is the salsa?,red,Where are the chimichangas placed?,on the plate,What color is the creamy sauce??,creamy,chimichangas
4727,484abae80bccb9d,What color are the Chicken Chimichangas?,golden-brown,What type of meat is inside the chimichangas?,chicken,What color are the plates?,gray,Where are the chimichangas placed?,on the plate,What color is the cilantro garnish??,green,chimichangas
4728,73155df7ea75664,What covers about half of the chimichanga?,covers,What is the main dish on the plate?,chimichanga,What color is the plate?,turquoise,Where is the chimichanga positioned?,on top,What is next to the chimichanga towards the lower-right??,lettuce,chimichangas
4729,ea28788885c159a,What color is the plate?,white,What color is the chimichanga in the front?,golden brown,How is the chimichanga in the front positioned?,sitting,What herb is used to garnish the chimichangas?,cilantro,Where are the chimichangas placed??,on a white plate,chimichangas
4730,b81166ac3b969b2,What color are the chimichangas?,light,What type of food is on the plate?,chimichangas,What color is the cream on the chimichangas?,white,Where are the chimichangas located?,on the plate,What color are the jalapenos??,green,chimichangas
4731,20352e8a75f4448,What color is the plate in the image?,white,What type of food is featured in the image?,chimichangas,What color is the filling inside the chimichangas?,orange,How does the outer shell of the chimichangas appear?,browned,Where are the chimichangas placed in the image??,on lettuce,chimichangas
4732,c2a6b26a5b309bc,What color is the plate with the chimichangas?,light,What fruit is used as a filling in the chimichangas?,apples,What color are the apples in the background?,red,What design is on the plate?,with a floral design,What color is the wooden surface??,brown,chimichangas
4733,5eb72ff26f19b60,Where does the chimichurri marinade sit?,sits,What color is the bowl?,white,What is the chimichurri marinade placed in?,bowl,How is the steak cooked?,grilled,Where is the bowl positioned in the image??,at the top left,chimichurri
4734,b47e9f3d2f12132,What is the cilantro chimichurri served in?,bowl,How would you describe the texture of the cilantro chimichurri?,chunky,How much of the bowl does the cilantro chimichurri occupy?,fills,What herb is visible in the image?,cilantro,Where is the cilantro chimichurri located in the image??,in the image,chimichurri
4735,adc5de7de286894,What is the name of the sauce in the image?,Chimichurri,What is the Chimichurri contained in?,is,What material is the surface the bowl is placed on?,wooden,What is the shape of the bowl?,bowl,Where is the bowl positioned in the image??,in color,chimichurri
4736,65c82ce184feb05,What color is the chimichurri?,vibrant,What is the chimichurri contained in?,bowl,Where is the chimichurri located?,green,What color is the bowl?,in the bowl,Where is the spoon in relation to the bowl??,spoon,chimichurri
4737,943ad08331acac0,What is the chimichurri contained in?,bowl,How are the zucchini and squash prepared?,grilled,Where does the spoon rest?,rests,What material is the bowl made of?,wooden,Where is the bowl positioned relative to the grilled zucchini and squash??,to the left,chimichurri
4738,450365fed001a05,What color is the bowl containing the Chimichurri Muy Pefecto?,red,What is the name of the sauce in the bowl?,Chimichurri,Where is the bowl located in the image?,located in,What is the Chimichurri Muy Pefecto contained in?,bowl,What are the lettuce leaves under the bowl described as??,mixed,chimichurri
4739,d8b7fb669e2d573,What color is the pepperoni?,red,Where is the pepperoni positioned?,positioned on,What are the orange-brown components on the pizza?,drips,What is the primary component of the pizza?,cheese,What is the cheese forming on the pizza??,forming,chip
4740,f26617d0c24cc4b,How are the potato chips being cooked?,frying,What food item is shown in the image?,chips,What appliance is used to cook the chips?,air fryer,What color are the lighter areas of the chips?,brown,Where are the other chips located??,in the background,chip
4741,020e6ea8dd42734,What color are the pasta chips?,golden-brown,What type of food is being described?,pasta chips,What do the pasta chips do to the bowl?,fill,What color is the bowl?,white,Where is the red sauce located??,in the red sauce,chip
4742,a6870d6bf956666,What color is the coating of the chicken pieces?,golden-brown,What type of meat is used in the dish?,chicken,What color is the lettuce in the background?,green,Where is the lettuce located in the image?,in the background,What color is the tomato in the background??,red,chip
4743,f978296066c039b,What is the main flavor of the cookie?,chocolate,What type of baked good is shown in the image?,cookie,What color is the cookie dough?,tan,What color are the chocolate chips?,brown,Where is one of the chocolate chips located in the cookie??,in the upper left quadrant,chip
4744,df48cc0fde3b65e,What color are the chips?,reddish-orange,How are the chips arranged on the plate?,piled,What type of food is shown in the image?,chips,What is the shape of the dish holding the chips?,plate,Where is the blue and white checkered cloth located??,in the background,chip
