reference,hypothesis,gpt_score
resting on the plate,on plate,0.8
yes,not entirely,0.2
pie,fruit crumble,0.2
green,verdant,1.0
off-white,cream,0.6
on a white plate,white plate,1.0
red,red,1.0
bowl,white ramekin,0.5
orange,orange,1.0
mixed,layered together,0.6
on top of,on the base,0.1
red,reddish pink,0.7
bowl,white dish,0.5
yes,no it isnt,0.0
golden-brown,tan,0.7
at the bottom,below crumble topping,0.3
pie,fruit crumble,0.2
red,purple red,0.7
beneath,underneath,1.0
brown,light brown,0.8
green,light greenish,0.8
scattered,randomly placed,0.8
brown,beige brown,0.8
berries,dried cranberries,0.8
atop,in vessel,0.1
golden-brown,light brown,0.7
pie,fruit pie,0.9
lattice,woven design,0.4
across the entire top,on top,0.7
leaves,some foliage,0.8
yellow,light yellowish,0.8
pie,empty shell,0.0
crust,crust shell,0.8
crimped,crimped design,0.9
in the center,on plate,0.2
golden,tan,0.4
pie,cherry dessert,0.5
red,red,1.0
tan,light yellow,0.1
dripping,dripping over side,0.8
tan,tan,1.0
premium,thick edge,0.1
cheese,cheese,1.0
in the lower portion,bottom and around,0.5
green,light hue,0.5
cucumbers,cucumber,1.0
white,white,1.0
creamy,thick coating,0.4
throughout the image,within salad,0.1
white,light,0.5
salad,caprese salad,0.9
red,red,1.0
on a plate,white plate,0.8
green,emerald,0.8
green,light shades,0.3
salad,veggie blend,0.7
visible,yes they are,0.0
white,white,1.0
inside a transparent bowl,clear dish,0.8
green,light yellowish green,0.8
cucumbers,cucumbers,1.0
sliced,into rounds,0.2
on their surfaces,green circles,0.0
fresh,sliced veggies,0.4
cucumbers,cucumber slices,0.9
green,light greenish,0.8
overlapping,randomly placed,0.1
yellow,pale yellow,0.8
margaritas,martini cocktail,0.3
white,ivory,0.8
cucumber,cucumber,1.0
on the rim,on the rim,1.0
green,emerald,0.8
cucumber,cucumber,1.0
wooden,wood block,0.8
cucumbers,cucumber,1.0
fill,are plated,0.1
white,ivory,0.8
in a shallow bowl,inside dish,0.5
white,ivory,0.8
golden-brown,yellowish brown,0.8
on a white surface,on plate,0.3
pink,pink,1.0
reddish-brown,gold stripes,0.0
cupcake,cakes,0.6
on the plate,pink plate,0.5
yellow,yellow,1.0
curd,mango mousse,0.0
glass,footed glass,0.9
submerged inside,inside the food,0.2
smooth,smooth creamy,0.9
curry,chicken stew,0.2
white,ivory,0.8
golden-brown,brown yellowish,0.7
on top of,atop curry,0.8
covering,covering dessert,0.8
cake,cake,1.0
roses,pink flowers,0.6
swirling,rose formation,0.2
over the entire surface,on top,0.5
yellow,ivory,0.2
custard,frozen custard,0.9
into the custard,in dessert,0.3
orange-brown,tan,0.7
custard,pudding with cream,0.6
fills,fills it,0.9
white,ivory,0.8
on the plate,upon platter,0.7
pale,yellowish tan,0.6
chicken,poultry,0.8
brown,green,0.1
on top,on dish,0.3
red,red,1.0
white,white,1.0
immersing,covering them,0.2
dark,black and brown,0.6
spices,cumin seeds,0.8
across the bowl,in broth,0.2
raspberry,raspberry,1.0
golden-brown,golden brown,1.0
plate,beige surface,0.3
red,red,1.0
on a plate,the plate,0.7
Turkish Delight,candied ginger,0.2
coated,powdered sugar,0.2
white,white,1.0
scattered,closely packed,0.0
across the frame,on surface,0.2
dessert,dessert cake,0.9
taking,eating item,0.5
white,ivory,0.8
on top,on top,1.0
glossy,glossy fluid,0.9
baking,baking,1.0
yellow,yellowish white,0.8
melted,creamy stringy,0.2
in a clear glass,baking pan,0.0
filling,it sits,0.0
bean,bean purée,0.8
brown-black,brown,0.7
in the center-left,in the image,0.2
white,white,1.0
pizza,savory food,0.5
red,reddish brown,0.7
across the surface,on the surface,0.8
green,green,1.0
golden-brown,yellowish,0.5
corn dogs,corndogs,1.0
reddish-brown,reddish brown,1.0
on a white plate,the plate,0.3
chocolate,chocolate,1.0
donuts,doughnuts,1.0
brown,chocolate,0.7
in the bottom left,bottom left,0.9
white,light,0.5
pierogi,pierogi dish,0.9
beige,pale yellow,0.5
on plate,on plate,1.0
fried,no they are not,0.0
brown,brown,1.0
doughnuts,fried dough,0.8
yellow,off-white,0.3
stacked,in stack,0.7
on top of,on others,0.2
doughnuts,apple fritters,0.5
white,white,1.0
in the center,center position,0.8
orange-brown,yellowish brown,0.7
doughnuts,sweet baked goods,0.7
maple,looks glazed pumpkin,0.0
green,verdant,1.0
vanilla,coconut,0.2
tan,beige white,0.1
in the front,left side,0.2
salad,greens,0.7
Best,yellow brown,0.0
brownish,maroon,0.6
black,black,1.0
in the lower-left corner,left side,0.5
orange,light reddish,0.2
salad,salad,1.0
drizzled,it's poured,0.5
top of the salad,top portion,0.7
lettuce,lettuce,1.0
white,ivory,0.8
bowl,dish,0.7
brown,brown,1.0
wasabi,brown liquid,0.1
towards the upper-right,top right,0.9
orange-red,orange tint,0.7
fills,fills it,0.9
pitcher,pitcher,1.0
white,ivory,0.8
to the bottom left,at the base,0.3
yellow,pale yellowish,0.8
jar,glass jar,0.9
creamy,thick creamy,0.9
greenish,pale yellow,0.2
on a red surface,red surface,1.0
crispy,brown bumpy,0.2
drumsticks,legs,0.2
white,ivory,0.8
blue,blue white,0.8
on a plate,white surface,0.3
decorative,holds food,0.1
drumsticks,rabbit legs,0.1
pinkish-tan,white,0.1
on the left,on a plate,0.2
green,green,1.0
pink,pinkish,0.9
duck,turkey breast,0.2
sliced,sliced and roasted,0.8
yellow,yellowish brown,0.8
to the left,on left,0.9
Duck Adobo,meat with onion,0.2
covering,coating it,0.7
white,white,1.0
glossy,dark and shiny,0.7
in the center,center bottom,0.5
brown,brown,1.0
duck,poultry dish,0.3
crispy,crispy brown,0.9
green,dark vegetation,0.7
on an oval platter,on platter,0.7
golden-brown,brown,0.5
dumplings,monkey bread,0.1
metal,aluminum,0.8
in a metal baking pan,inside pan,0.6
amber,amber,1.0
yellow,yellow,1.0
egg,eggs,1.0
sprinkled on,on snacks,0.2
white,ivory,0.8
translucent,round cooked,0.1
golden-brown,tan,0.7
eggs,boiled egg,0.9
white,brown,0.2
on a plate,white tray,0.3
yellow,yellow,1.0
golden-brown,golden brown,1.0
eggnog,classic style,0.1
white,light gray,0.7
on top,on toast,0.2
syrup,syrup pools,0.9
round,spherical,1.0
eggplant,eggplant,1.0
white,white,1.0
in the top-center,atop noodles,0.1
eggplant,zucchini,0.5
red,reddish,0.8
on top of,over food,0.4
golden-brown,tan,0.7
empanada,empanadas,1.0
white,white with pattern,0.8
on a patterned napkin,on cloth,0.2
creamy,gooey topped,0.3
yellow,yellowish reddish,0.7
scattered across,on topping,0.1
red,light crimson,0.8
peeks,underneath toppings,0.1
white,white,1.0
popcorn,snack food,0.7
spilling out,yes it does,0.0
brown,brown,1.0
tilted,yes it is,0.0
red,red green,0.5
popcorn,popcorn bowl,0.8
peppermint,christmas blend,0.3
glass,glassware,0.8
in a bowl,in bowl,0.9
blue,blue,1.0
bowl,blue container,0.3
white,white,1.0
keto,keto friendly,0.9
poppers,wrapped chilies,0.1
green,verdant,1.0
white,cream colored,0.8
on a black metal rack,inside fryer,0.0
gray,dark grey,0.9
poppers,mummy jalapeños,0.0
wrapped,in container,0.3
green,light hue,0.5
green,emerald,0.8
jalapeño,jalapeño,1.0
bacon,pork strips,0.8
on a white plate,on plate,0.7
crisp,partially cooked,0.3
green,green,1.0
poppers,stuffed peppers,0.2
cream cheese,cream cheese,1.0
orange,yellow,0.3
white,orange,0.1
chicken,shrimp,0.2
orange,orange,1.0
on top,over soup,0.2
brown,tan,0.7
light,light beige,0.8
potatoes,oatmeal,0.1
black,black,1.0
at the center,in dish,0.1
potatoes,potatoes,1.0
brown,brown,1.0
reddish-brown,brownish red,1.0
coated,smooth dense,0.2
on the plate,on dish,0.8
yellow,tan beige gold,0.4
potatoes,cubed fried,0.2
crispy,golden brown,0.6
fork,fork,1.0
on the left,beside,0.3
spiced,dark powder,0.2
potatoes,potatoes,1.0
yellowish-tan,yellow brown,0.8
across the entire image,in the image,0.7
brown,dark brown,0.8
potato,potatoes,1.0
yellow,yellowish brown,0.8
scattered,scattered randomly,0.9
roasting,higher temperature,0.3
in the dish,on wood,0.1
brown,golden brown,0.7
potatoes,potatoes,1.0
green,pale verdant,0.8
on top,on potatoes,0.2
checkered,checkered cloths,0.9
light brown,brown,0.8
pralines,pecan candy,0.7
reddish-brown,reddish brown,1.0
on a plate,the dish,0.5
visible,yes its there,0.2
white,ivory,0.8
prawns,fried prawns,0.9
orange-brown,reddish orange,0.6
on a plate,on rectangle,0.3
beige,light yellow,0.3
pudding,tres leches,0.3
cinnamon,ground spice,0.6
brown,brownish,0.8
golden-yellow,yellow,0.8
pudding,creamed snack,0.5
creamy,smooth creamy,0.9
on a white plate,on plate,0.7
corn,maize kernels,1.0
white,ivory,0.8
tan,beige,0.2
filling,cream filling,0.8
cracked,rough textured,0.2
to the left,on surface,0.0
yellow,dark,0.0
loaves,pound cakes,0.3
brown,brown,1.0
on top,top bread,0.5
mottled,two-toned cake,0.5
orange,yellow orange,0.8
bowl,square dish,0.2
fills,yes it does,0.0
thick,yes it is,0.0
in the center,inside plate,0.2
white,ivory,0.8
bowl,white bowl,0.9
beige,light yellow,0.3
at the bottom,plate,0.1
glasses,transparent material,0.3
wooden,wood material,0.8
green,green,1.0
on a wooden board,wooden surface,0.8
mug,glass mug,0.9
red,reddish,0.8
brown,yellowish brown,0.8
quesadillas,gooey butter cake,0.1
golden,golden brown,0.8
on top,in dish,0.1
brown,light brown,0.8
quesadillas,quesadillas,1.0
red-orange,reddish brown,0.5
on top,top quesadilla,0.2
yellow,yellowish orange,0.8
queso,white cheese,0.7
melted,covered with sauce,0.2
creamy,smooth and creamy,0.9
over a pile,corn chips,0.0
chips,melted dairy,0.1
golden-brown,golden brown,1.0
green,chartreuse,0.8
on a white plate,on plate,0.7
colorful,fresh produce,0.3
soup,vegetable broth,0.8
orange,orange,1.0
on the right,in soup,0.0
sprinkled,green herbs,0.2
reddish-brown,black,0.0
quinoa,black beans,0.2
fills,it sits,0.0
green,green,1.0
in the center,on top,0.2
cheesy,ingredients used,0.1
quinoa,quinoa,1.0
yellow,red white black,0.0
green,verdant hue,0.9
fills,is cooked,0.1
quinoa,quinoa,1.0
beige,beige,1.0
green,green,1.0
within the quinoa,in dish,0.2
quinoa,quinoa,1.0
red,violet,0.3
in,in container,0.8
pink,rose hue,0.8
radishes,radishes,1.0
bowl,small container,0.7
silver,metallic,0.6
in the bottom center,center,0.5
dark green,green,0.8
radish,radish,1.0
purple,violet,0.9
distributed throughout,on plate,0.2
cheese,feta cheese,0.9
white,pale,0.7
radish,daikon radish,0.9
dispersed,in piles,0.1
orange,orange,1.0
at the bottom,white dish,0.0
golden-brown,tan,0.7
pie,baked tart,0.5
silver,foil,0.7
raisins,fruit filling,0.4
golden brown,brown,0.7
pie,meringue topping,0.2
white,ivory,0.8
on top,covering filling,0.1
meringue,meringue topping,0.9
green,green,1.0
bowl,bowl,1.0
ramen,ramen,1.0
on top,inside container,0.0
cheesy,chili oil,0.1
noodles,ramen noodles,0.9
yellow,yellowish,0.9
on top,on noodles,0.2
scallions,green onions,1.0
white,ivory,0.8
bowl,bowl,1.0
yellow,yellow,1.0
on top,within ramen,0.0
red,the strips are,0.0
yellow,pale yellow,0.8
bowl,floral dish,0.6
scallions,green onions,1.0
green,verdant,1.0
on top of,atop strands,0.8
fresh,golden and juicy,0.4
turnovers,fruit turnovers,0.8
white,ivory,0.8
red,red,1.0
on a plate,on plate,0.9
red,crimson,0.9
pitcher,glass pitcher,0.9
wooden,wood grain,0.7
on the wooden surface,on wood,0.8
yellow,yellow,1.0
browning,browning slightly,0.8
chicken,poultry cuts,0.7
creamy,smooth,0.7
at the bottom,on plate,0.2
hot,appears so,0.1
on top of,top of frankfurter,0.5
onions,relish and onions,0.8
red,red,1.0
orange,golden yellow,0.6
white,white,1.0
relish,red peppers onions,0.1
red,red,1.0
on,on top,0.8
vegetables,red mixture,0.1
red,deep red,0.9
cranberries,cranberry,0.9
walnuts,walnut,1.0
in the center,glass container,0.1
yellow,light green,0.3
zucchini,yellow squash,0.7
mixed,randomly mixed together,0.8
red,reddish purple,0.5
in the mix,in dish,0.5
white,ivory,0.8
cake,piece of cake,0.9
golden-brown,tan,0.7
on a plate,white receptacle,0.2
rhubarb,rhubarb,1.0
golden-brown,golden brown,1.0
cake,cake with topping,0.9
red,reddish pink,0.7
on a plate,on plate,0.9
pink,rosy,0.8
rough,slightly bumpy,0.7
cookies,cookies,1.0
pinkish-red,pink,0.7
on a plate,on dish,0.8
purple,mauve,0.8
red,red,1.0
salad,food item,0.7
white,white,1.0
atop the salad,on top,0.7
applesauce,sauce,0.7
bowl,white,0.1
red,crimson,0.9
red,reddish,0.8
silver,silver,1.0
reddish-brown,dark reddish,0.7
ribs,pork ribs,0.9
foreground,foreground,1.0
green,verdant,1.0
white,ivory,0.8
on top,atop vegetables,0.7
reddish-orange,orangish,0.7
rice,grains,0.6
green,green,1.0
sausage,sausage vegetables,0.8
easy,i don't know,0.0
rice,grain,0.7
orange-red,reddish brown,0.5
on the right side,inside receptacle,0.1
green,green,1.0
rice,yellow rice,0.8
fills,cooking food,0.2
silver,metal,0.7
wooden,wood,0.8
throughout,on the rice,0.0
white,ivory,0.8
rigatoni,rigatoni,1.0
golden-yellow,light yellow,0.7
on a white plate,on plate,0.7
green,verdant shade,0.8
green,green,1.0
scattered,scattered atop,0.9
red,red,1.0
on the egg,on top,0.2
risotto,orzo with sausage,0.3
brown,reddish,0.3
scattered,random arrangement,0.8
on the left,on plate,0.2
white,ivory,0.8
roast,pot roast,0.9
brown,brown,1.0
within,on the food,0.2
green,verdant,1.0
pink,red brown,0.2
roast,oven baked,0.6
on a wooden cutting board,wood surface,0.7
golden,brown,0.3
rolls,caraway seed buns,0.1
brown,tan hued,0.8
on top,on rolls,0.2
adjacent,side by side,1.0
golden-brown,yellowish brown,0.8
rolls,sweet yeast rolls,0.8
stacked,in pile,0.7
lighter,yellowish brown,0.3
towards the top-left area,in a heap,0.1
light pink,reddish,0.3
salami,salami,1.0
white,white,1.0
yellow-orange,yellow,0.7
in the center,inside salami,0.1
BBQ,spice blend,0.3
jar,glass container,0.8
submerged,inside the jar,0.2
silver,metal,0.7
in the center,on surface,0.1
brownish,brown,0.8
fish,fish filets,0.9
green,verdant,1.0
on top of,over greenery,0.3
salad,wooden container,0.0
jar,glass jar,0.9
brown,tan,0.7
on the wooden surface,wooden surface,1.0
spilled,spilled out,0.8
scattered,scattered heaps,0.9
reddish-brown,reddish brown,1.0
spoon,spoon,1.0
silver,silver,1.0
on top of,on top,0.9
bread,loaf bread,0.9
halved,cut open,0.2
sits on,smaller slice,0.0
yellow,yellowish white,0.8
loaf,semicircular loaf,0.8
chicken salad,chicken salad,1.0
green,green,1.0
in the center,on wood,0.0
cracker,a flatbread,0.5
dark green,verdant,0.7
salad,a salad,1.0
located throughout,in the bowl,0.2
peach,peach,1.0
halloumi,halloumi,1.0
creamy,creamy liquidy,0.9
bowl,bowl,1.0
red,red,1.0
adding,being made,0.2
on top,on top,1.0
white,ivory,0.8
green,green,1.0
bowl,white dish,0.5
throughout,in dish,0.0
green,green,1.0
salad,jello salad,0.8
large,moderate portions,0.2
interspersed,mixed together,0.7
against the base,around the dish,0.1
white,ivory,0.8
scattered,evenly spread,0.3
green onions,scallions,1.0
brown,light brown,0.8
on a white plate,on a plate,0.8
red,crimson,0.9
salad,green stuff,0.6
spread,tossed together,0.2
purple,white and pink,0.1
among the leaves,atop greens,0.3
red,red,1.0
halved,halved tomatoes,0.9
cucumbers,cucumber,1.0
dill,dill,1.0
on top,on top,1.0
red,red,1.0
bowl,metal bowl,0.9
silver,stainless steel,0.4
green,yellowish green,0.8
inside a silver bowl,inside bowl,0.7
light,light green,0.8
cucumbers,cucumber,1.0
red,red,1.0
throughout the blue bowl,blue dish,0.5
green,green,1.0
salad,garden salad,0.9
yellow,yellow,1.0
across the top,in the greens,0.1
white,white,1.0
black,dark hue,0.7
salad,corn bean mix,0.4
white,white,1.0
yellow,golden,0.8
white,ivory,0.8
rice,white rice,0.9
green,dark greenish,0.8
with,rice and greens,0.0
orange,orange,1.0
salsa,chips with salsa,0.8
white,white,1.0
tomatoes,chopped tomatoes,0.9
in a bowl,surrounded by tortillas,0.2
colorful,green red yellow,0.8
bowl,white bowl,0.9
apricot,pineapple,0.1
green,same as plants,0.5
within the mixture,in salad,0.2
murky,greenish brown,0.7
white,ivory,0.8
atop,on plate,0.3
yellow,golden hue,0.8
distributed,mixed together,0.2
green,light verdant,0.8
white,white,1.0
on top of,beside lime,0.1
black,dark,0.7
bowl,in bowl,0.7
reddish-orange,reddish brown,0.7
herbs,herbs,1.0
in the center,top center,0.7
black,dark hue,0.7
salsa,cowboy caviar,0.2
yellow,yellow,1.0
green,verdant,1.0
red,reddish,0.8
salsa,fresh salsa,0.9
spoon,spoon,1.0
white,white,1.0
in the lower left,left side,0.6
reddish-orange,reddish brown,0.7
cup,foam cup,0.9
fills,it stays there,0.1
on the right,the right,0.9
brownish-red,reddish brown,1.0
red,reddish,0.8
salsa,pico de gallo,0.2
fills,fills vessel,0.9
clear,food container,0.1
homemade,seasoned salt,0.1
salt,coarse sea salt,0.9
red,red brown black,0.3
scattered,spilled seasoning,0.3
on the upper left,wooden surface,0.0
reddish-brown,light reddish,0.7
salt,table crystals,0.5
fills,fills it,0.9
light,moderate hue,0.4
above a white bowl,over container,0.3
brown,tan,0.7
sandwiches,sandwiches,1.0
white,ivory,0.8
green,greenish yellowish,0.8
on a white surface,on surface,0.5
blue,azure,0.8
brown,brown,1.0
scattered,throughout sandwiches,0.1
in the top left corner,upper left,0.9
blue,azure,0.8
scattered,scattered plate,0.8
peanut butter,butter spread,0.7
golden-brown,yellowish brown,0.8
on a blue plate,blue surface,0.7
pasta,penne pasta,0.9
Italian,italian,1.0
dripping,covering it,0.1
herbs,shredded cheese,0.0
reddish-brown,dark reddish,0.7
food,pork pieces,0.8
down the sides,the meats,0.0
brown,yellowish,0.2
sugar,caramel,0.6
amber,yellow,0.7
in a clear glass,footed bowl,0.1
bottom,atop dessert,0.0
yellow,yellowish,0.9
pasta,pasta with meatball,0.9
red,red,1.0
on top of,upon noodles,0.5
white,ivory,0.8
orange-red,orangish red,0.9
spaghetti,spaghetti,1.0
white,ivory,0.8
from center to edges,all over,0.3
reddish-brown,coral,0.1
bowl,pink container,0.2
pink,pink,1.0
in the center,on surface,0.2
reddish-orange,reddish brown,0.7
sauce,tomato stew,0.3
fills,fills it,0.9
green,orangish brown,0.2
to the left,center left,0.6
red,reddish,0.8
wooden surface,wooden board,0.9
white,whitish,0.8
next to,wooden surface,0.0
fills,it stays,0.1
brown,dark brown,0.8
bowl,black vessel,0.6
on the rim,vessel's rim,0.8
orange,orangish reddish,0.7
coated,buffalo style,0.1
carrots,carrot,1.0
green,lime,0.8
on a plate,white surface,0.3
reddish-brown,reddish brown,1.0
orange,yellowish orange,0.8
bowl,glass bowl,0.9
red,red,1.0
on top,top of mixture,0.7
brownish-red,brown,0.7
beef,beef pot roast,0.8
cooked,pot roast,0.7
orange,orange,1.0
in the top center,top part,0.6
dark brown,brown,0.8
stew,it's gravy,0.2
light brown,brownish,0.8
golden,yellowish-brown,0.7
from the surface,hot liquid,0.1
yellowish-white,light yellow,0.8
forming,being served,0.1
bowl,white dish,0.5
brownish-red,red brown,0.9
in the bottom-left,inside dish,0.1
golden-brown,light yellow,0.3
sausage flowers,wonton cups,0.1
brownish-orange,light brownish,0.7
sprinkled over,on top,0.7
silver tray,silver,0.5
sausage,pork sausage,0.9
reddish-brown,brown,0.7
in a leaf-shaped bowl,leaf like,0.5
grilled,sauteed,0.3
pineapple,pineapple,1.0
creamy,ivory,0.5
pasta,linguine pasta,0.9
white,yellowish,0.4
on the side,top right,0.2
triangular,triangular,1.0
scone,iced scone,0.9
yellow,yellow,1.0
on a plate,on plate,0.9
white,ivory,0.8
white,ivory,0.8
scones,biscuits,0.7
golden brown,tan,0.7
in the foreground,lower left,0.2
yellow,pale yellow,0.8
tomato,red round plants,0.4
green,verdant,1.0
towards the center,on dish,0.1
reddish-brown,red,0.7
brown,brown,1.0
pumpkin seeds,pumpkin grains,0.7
sugar,granulated sweetener,0.8
orange,cream,0.1
semifreddo,cake,0.3
silver,metallic,0.6
off-white,cream,0.5
on a tray,on platter,0.8
white,cream,0.8
pinkish-orange,orange red,0.6
in the center,on a plate,0.1
green,red and green,0.5
white,ivory,0.8
shrimp,cooked prawns,0.9
reddish-orange,red orange,0.9
in the center,on surface,0.1
blue,blue,1.0
shrimp,prawns,0.9
garlic,diced leaves,0.1
pink-orange,orange light,0.5
on a blue plate,blue plate,1.0
hash brown,iron skillet,0.1
red,reddish brown,0.7
scallions,chopped scallions,0.9
white,ivory,0.8
pineapple,pineapple chunks,0.9
yellow,yellow,1.0
green,green,1.0
on a white plate,on plate,0.7
corn,sweetcorn,0.9
yellow,gold,0.7
scattered,mixed throughout,0.7
red,crimson,0.9
on the left side,top left,0.5
green,green and purple,0.7
cabbage,cabbage,1.0
mixed,mixed together well,0.8
orange,reddish yellow,0.5
scattered,mixed together,0.2
coleslaw,coleslaw,1.0
orange,orange,1.0
in the bowl,in bowl,0.9
orange,yellowish red,0.3
glass,stemware,0.7
bright,yellowish red,0.5
on the rim,on beverage container,0.3
metal,metal,1.0
slushies,frozen smoothie,0.6
red,maroon,0.7
in a metal tray,tray of ice,0.3
chocolate,chocolate,1.0
cup,clear vessel,0.7
brown,chocolate,0.7
pink,reddish,0.6
smoothie,smoothie,1.0
green,verdant,1.0
on top of,on top,0.9
chocolate,chocolate,1.0
smoothie,smoothie,1.0
brown,brown,1.0
green,green white,0.8
pineapple,pineapple,1.0
clear,clear,1.0
smoothie,fruit smoothie,0.9
to the right,right of cup,0.8
green,verdant,1.0
smoothie,smoothie,1.0
strawberry,berry,0.7
on top of,top of glass,0.7
solid,icy creamy soft,0.2
sorbet,ice cream,0.6
pale,ivory,0.8
off-white,light shade,0.2
rich,dark purple,0.2
sorbet,sorbet,1.0
purple,dark reddish,0.2
in the bowl,white container,0.2
blueberry,blueberry,1.0
resting,it is there,0.1
pale green,light green,0.8
golden-brown,golden brown,1.0
crispy,bumpy granular,0.2
in the upper-left corner,top left,0.9
blue,teal,0.7
mushrooms,mushroom spinach,0.8
scattered on the surface,inside dish,0.0
spinach,spinach leaves,0.9
white,white,1.0
soup,bean stew,0.7
brown,dark brown,0.8
green,verdant,1.0
white,ivory,0.8
reddish-brown,reddish brown,1.0
in the right half,on cloth,0.0
vegetables,cut vegetables,0.9
orange,light brown,0.2
soup,creamy broth,0.8
bread,sliced loaf,0.8
on top of,on plate,0.3
spaghetti,spaghetti,1.0
red,red,1.0
cheese,shredded cheese,0.9
around the perimeter,edge of food,0.3
reddish-brown,reddish brown,1.0
spaghetti,meat based,0.2
chunky,chunky,1.0
light,light yellow,0.8
cheese,melted cheese,0.9
red,red black,0.5
in a casserole dish,inside dish,0.6
spaghetti,spaghetti,1.0
scattered,scattered randomly,0.9
meatballs,meatballs and sauce,0.9
placed on top,over pasta,0.1
blue,azure,0.8
musubi,spam musubi,0.8
orange-red,reddish,0.7
around,food item,0.0
white rice,white,0.5
reddish-brown,reddish brown,1.0
sandwich,sandwich plate,0.8
glazed,generously applied,0.2
blue,bluish,0.8
light-brown,reddish brown,0.6
burger,sandwich,0.7
reddish-brown,reddish brown,1.0
on top,on top,1.0
spam,potato mix,0.0
green,verdant,1.0
spinach,greens,0.7
white,various hues,0.2
with a patterned rim,leaf patterns,0.3
onions,white chunks,0.2
fresh,fresh looking,0.8
salad,leafy greens,0.8
green,green,1.0
white,white and purple,0.7
in a bowl,in bowl,0.9
green,verdant,1.0
spinach,kale chips,0.5
haphazard,in pile,0.3
oily texture,smooth surface,0.3
spinach,spinach,1.0
green,green,1.0
bowl,white plate,0.2
with shallots,sliced onions,0.2
green,green,1.0
sprouts,brussels sprouts,1.0
blue,light cerulean,0.8
bacon,bacon bits,0.9
on a white surface,on towel,0.2
green,verdant,1.0
sprouts,brussels sprouts,0.9
creamy,creamy look,0.8
overlapping,randomly placed,0.1
green,green,1.0
sprouts,brussels sprouts,0.9
brown,brown,1.0
scattered across,in a pile,0.1
yellow,yellow,1.0
green,shallow yellow,0.1
sprouts,brussels sprouts,1.0
brown,white brown,0.5
around the sprouts,around sprouts,0.9
green,verdant,1.0
brussels sprouts,brussels sprouts,1.0
white,ivory,0.8
brownish,dark,0.3
in a bowl,in bowl,0.9
dispersed,mixed together,0.2
green,green,1.0
bowl,inside container,0.3
yellowish-white,yellowish or beige,0.8
covering,covering them,0.9
on top,top,0.8
black,dark,0.7
green,dark verdant,0.8
squash,zucchini,0.8
orange,reddish beige,0.2
on a white plate,a dish,0.2
yellow,golden,0.8
squash,spaghetti squash,0.9
on the concave part,on utensil,0.0
green,verdant,1.0
green,dark green,0.9
yellow,yellow,1.0
overlapping,side by side,0.3
on the plate,white dish,0.2
orange-yellow,yellow,0.7
squash,kabocha squash,0.9
green,greenish,0.9
charred,slightly burned,0.7
in the center,baking sheet,0.1
orange,orange yellow,0.8
squash,sweet potatoes,0.1
blue,blue,1.0
in the center-left,on counter,0.1
surrounding,surrounding meat,0.9
steak,pork chop,0.5
tan,beige,0.1
brown,beige,0.6
golden-brown,golden brown,1.0
crispy,fried golden,0.7
arranged,jumbled together,0.2
bowl,inside bowl,0.8
white,ivory,0.8
golden-brown,brown,0.7
fish,baked fish,0.8
white,ivory,0.8
on the plate,on plate,0.9
blue,pale blue,0.8
golden-brown,yellowish brown,0.8
green,verdant hue,0.9
beneath the steaks,on plate,0.2
reddish-brown,reddish brown,1.0
hamburger,ground beef,0.7
potatoes,potatoes,1.0
throughout the stew,in stew,0.5
red,reddish brown,0.7
stew,boiled dinner,0.2
ham,processed pork,0.3
green,light green,0.8
on the left,inside the bowl,0.1
brown,dark reddish brown,0.8
scattered,evenly throughout,0.2
orange,orange,1.0
white,ivory,0.8
brown,brown,1.0
chicken,poultry,0.8
orange,orange,1.0
on the left side,top left,0.5
brown,dark brown,0.8
tomatoes,chopped tomatoes,0.9
meat,ground beef,0.8
on top,on liquid,0.2
yellow,golden yellow,0.9
yellow,yellow,1.0
atop the center,on food,0.0
orange-brown,orange brown,1.0
white,light brown,0.4
on the surface,in food,0.1
translucent,soft and translucent,0.9
savory,savory fresh light,0.7
vegetables,stir fry,0.2
green,verdant,1.0
around the top,inside skillet,0.0
yellow,red yellow,0.5
pink,light rose,0.8
strawberries,berries,0.7
displaying,in rows,0.1
red,red,1.0
on top,on topping,0.5
red,vermilion,0.8
strawberries,strawberry,0.9
bright,red granular covering,0.2
on a white paper liner,on a plate,0.3
red,crimson,0.9
strawberries,strawberry,1.0
brown,dark brown,0.8
on the bottom,bottom half,0.5
red,crimson,0.9
strawberries,strawberry,1.0
sliced,both,0.0
on the upper side,top of bowl,0.6
white,ivory,0.8
red,red,1.0
strawberries,berries,0.7
clustered,randomly placed pieces,0.0
juicy,coated red,0.1
red,vermilion,0.9
strawberry,berries,0.6
glass,stemmed glass,0.9
bright,crimson,0.3
on the plate,on plate,0.9
chestnut,mushroom,0.1
brown,yellowish brown,0.8
toasted,golden brown,0.7
yellow,yellowish white,0.8
brown,brown,1.0
scattered,uniformly scattered,0.8
dish,white container,0.2
white,ivory,0.8
throughout the dish,throughout dish,0.9
brown,brown,1.0
herbs,herbs,1.0
baking,a bird,0.0
white,white,1.0
scattered,somewhat evenly,0.4
brown,light brown,0.8
in the center,in dish,0.2
powdered,fine grained,0.7
glass,glass,1.0
vegetarian,yes it is,0.0
sushi,sushi rolls,0.9
black,black,1.0
on the plate,black surface,0.2
green,vert,1.0
swordfish,white meat,0.2
atop,top part,0.7
red,reddish,0.8
pitcher,sauce boat,0.0
