reference,hypothesis,gpt_score
reddish-brown,pink,0.2
on a white plate,golden,0.0
chocolate,sour,0.0
donuts,galette,0.3
brown,frosting,0.1
in the bottom left,in the sauce,0.1
white,green,0.1
pierogi,fajitas,0.1
beige,greyish-brown,0.6
on plate,on a plate,1.0
fried,golden-brown,0.5
brown,rice,0.1
doughnuts,fajitas,0.0
yellow,glazed,0.1
stacked,stacked,1.0
on top of,to the right,0.1
doughnuts,fajitas,0.0
white,white,1.0
in the center,filling,0.0
orange-brown,golden,0.3
doughnuts,flautas,0.1
maple,pumpkin,0.1
green,green,1.0
vanilla,pumpkin,0.2
tan,golden-brown,0.2
in the front,golden-brown,0.0
salad,salad,1.0
Best,vibrant,0.2
brownish,translucent,0.0
black,green,0.0
in the lower-left corner,in the center,0.1
orange,beige,0.1
salad,enchiladas,0.1
drizzled,drizzled,1.0
top of the salad,bottom half,0.1
lettuce,tofu,0.1
white,dark brown,0.2
bowl,pitcher,0.1
brown,beige,0.5
wasabi,lemon,0.1
towards the upper-right,in the center,0.1
orange-red,located in,0.0
fills,fills,1.0
pitcher,pitcher,1.0
white,wooden,0.2
to the bottom left,to the left of,0.6
yellow,orange-brown,0.4
jar,jar,1.0
creamy,orange-brown,0.1
greenish,golden-brown,0.2
on a red surface,poppy seed dressing,0.0
crispy,rough,0.1
drumsticks,breasts,0.1
white,green,0.1
blue,red,0.0
on a plate,on a light grey plate,0.9
decorative,garnish,0.8
drumsticks,chicken,0.7
pinkish-tan,dark,0.1
on the left,on the left side,0.9
green,green,1.0
pink,reddish-orange,0.4
duck,beef,0.0
sliced,on a,0.0
yellow,red,0.2
to the left,on the rim,0.2
Duck Adobo,kugel,0.1
covering,covered in,0.8
white,atop rice,0.0
glossy,glossy,1.0
in the center,on a,0.1
brown,brown,1.0
duck,chicken,0.5
crispy,thick,0.1
green,green,1.0
on an oval platter,on a plate,0.7
golden-brown,golden-brown,1.0
dumplings,fajitas,0.1
metal,metal,1.0
in a metal baking pan,overlapping,0.0
amber,brown,0.3
yellow,yellow,1.0
egg,falafel,0.1
sprinkled on,specks,0.2
white,yellow,0.2
translucent,yellow,0.0
golden-brown,golden-brown,1.0
eggs,chorizo,0.1
white,white,1.0
on a plate,on a plate,1.0
yellow,white,0.2
golden-brown,golden-brown,1.0
eggnog,golden-brown,0.1
white,blue,0.2
on top,dusted,0.1
syrup,golden-brown,0.2
round,pale,0.0
eggplant,squash,0.4
white,pale,0.7
in the top-center,located,0.2
eggplant,potatoes,0.2
red,red,1.0
on top of,on top of,1.0
golden-brown,off the plate,0.0
empanada,fajitas,0.2
white,mauve-colored,0.2
on a patterned napkin,rim,0.0
creamy,golden-brown,0.2
yellow,golden-brown,0.6
scattered across,scattered among,0.9
red,red,1.0
peeks,glossy,0.0
white,white,1.0
popcorn,fajitas,0.0
spilling out,spilling out of,0.9
brown,brown,1.0
tilted,spilling,0.2
red,brown,0.4
popcorn,fajitas,0.0
peppermint,cinnamon-sugar,0.2
glass,glass,1.0
in a bowl,pastel,0.0
blue,dark brown,0.1
bowl,bowl,1.0
white,pastel,0.3
keto,vegan,0.1
poppers,on a,0.0
green,green,1.0
white,white,1.0
on a black metal rack,on a,0.2
gray,green,0.1
poppers,fajitas,0.0
wrapped,on a rectangular white plate,0.1
green,green,1.0
green,green,1.0
jalapeño,jalapeno,1.0
bacon,jalapeño,0.1
on a white plate,on a,0.4
crisp,glossy,0.2
green,on a,0.0
poppers,fajitas,0.0
cream cheese,white,0.2
orange,yellow,0.3
white,orange,0.1
chicken,in with,0.0
orange,orange,1.0
on top,on top,1.0
brown,white,0.1
light,yellow,0.3
potatoes,fries,0.7
black,dark brown,0.6
at the center,on the bottom left,0.0
potatoes,fries,0.7
brown,golden-brown,0.8
reddish-brown,creamy,0.0
coated,mashed,0.1
on the plate,scattered throughout,0.1
yellow,golden,0.8
potatoes,golden,0.1
crispy,golden,0.3
fork,golden,0.0
on the left,golden,0.0
spiced,dill,0.3
potatoes,fries,0.7
yellowish-tan,golden-brown,0.7
across the entire image,to the right of,0.1
brown,browned,0.8
potato,garlic,0.2
yellow,brown,0.3
scattered,scattered,1.0
roasting,fried,0.4
in the dish,on the left,0.1
brown,on the left,0.0
potatoes,fries,0.7
green,green,1.0
on top,on top,1.0
checkered,spiral,0.0
light brown,tan,0.8
pralines,enchiladas,0.0
reddish-brown,reddish-brown,1.0
on a plate,tan,0.0
visible,patterned,0.2
white,green,0.1
prawns,lobster,0.7
orange-brown,golden brown,0.7
on a plate,on a plate,1.0
beige,beige,1.0
pudding,flan,0.7
cinnamon,sprinkled,0.1
brown,sprinkled,0.0
golden-yellow,yellow,0.8
pudding,enchiladas,0.0
creamy,creamy,1.0
on a white plate,on a beige plate,0.7
corn,yellow,0.2
white,green,0.1
tan,forms,0.0
filling,grits,0.2
cracked,browned,0.2
to the left,on the bottom,0.0
yellow,noodles,0.0
loaves,puffs,0.2
brown,cream,0.2
on top,swirl,0.0
mottled,rustic,0.2
orange,orange,1.0
bowl,orange,0.1
fills,orange,0.0
thick,orange,0.0
in the center,orange,0.0
white,dark brown,0.2
bowl,glass,0.2
beige,milk,0.2
at the bottom,clear,0.0
glasses,glass,0.8
wooden,wooden,1.0
green,green,1.0
on a wooden board,on a white tray,0.3
mug,Chiles Rellenos,0.0
red,on the left,0.0
brown,yellowish-tan,0.6
quesadillas,fajitas,0.3
golden,yellowish-tan,0.6
on top,on a plate,0.3
brown,light,0.1
quesadillas,fajitas,0.3
red-orange,reddish-brown,0.6
on top,on the pasta,0.3
yellow,yellow,1.0
queso,beige,0.1
melted,appetizing,0.1
creamy,creamy,1.0
over a pile,drizzled,0.1
chips,beige,0.1
golden-brown,golden,0.8
green,scattered,0.0
on a white plate,on a white plate,1.0
colorful,soup,0.1
soup,gazpacho,0.8
orange,floating,0.0
on the right,red,0.1
sprinkled,herbs,0.2
reddish-brown,white,0.0
quinoa,fries,0.1
fills,fills,1.0
green,red,0.1
in the center,in the center,1.0
cheesy,tomato,0.1
quinoa,rice,0.3
yellow,brown,0.2
green,green,1.0
fills,fills,1.0
quinoa,rice,0.3
beige,brown,0.7
green,green,1.0
within the quinoa,green,0.1
quinoa,rice,0.3
red,green,0.1
in,vibrant,0.0
pink,red,0.5
radishes,beets,0.5
bowl,pink,0.0
silver,golden,0.5
in the bottom center,on the right side,0.0
dark green,green,0.8
radish,potatoes,0.2
purple,purple-black,0.8
distributed throughout,on the plate,0.2
cheese,olives,0.1
white,pink,0.3
radish,green,0.1
dispersed,scattered,1.0
orange,orange,1.0
at the bottom,with,0.0
golden-brown,golden-brown,1.0
pie,fajitas,0.1
silver,aluminum,0.3
raisins,filling,0.1
golden brown,golden-brown,1.0
pie,enchiladas,0.0
white,on a plate,0.0
on top,on top,1.0
meringue,meringue,1.0
green,green,1.0
bowl,light brown,0.1
ramen,noodles,0.8
on top,atop the quinoa,0.8
cheesy,adobo,0.0
noodles,jelly,0.1
yellow,yellow,1.0
on top,brown,0.0
scallions,green,0.2
white,dark brown,0.1
bowl,light brown,0.1
yellow,yellowish-white,0.8
on top,on a plate,0.3
red,on the top,0.0
yellow,noodles,0.0
bowl,light brown,0.1
scallions,green,0.3
green,green,1.0
on top of,in the center,0.2
fresh,golden brown,0.2
turnovers,Pan Dulces,0.0
white,green,0.1
red,red,1.0
on a plate,wire rack,0.2
red,red,1.0
pitcher,bowl,0.5
wooden,wooden,1.0
on the wooden surface,on a wooden surface,0.9
yellow,yellow,1.0
browning,bubbling,0.1
chicken,chicken,1.0
creamy,creamy,1.0
at the bottom,located in,0.2
hot,reddish-brown,0.2
on top of,board,0.1
onions,brown,0.1
red,green,0.1
orange,orange,1.0
white,white,1.0
relish,green,0.1
red,green,0.1
on,on a decorative plate,0.5
vegetables,of bread,0.0
red,vibrant,0.2
cranberries,cranberries,1.0
walnuts,rice,0.0
in the center,in the center,1.0
yellow,green,0.2
zucchini,potatoes,0.1
mixed,mixed,1.0
red,green,0.1
in the mix,red,0.0
white,green,0.1
cake,flan,0.4
golden-brown,golden-brown,1.0
on a plate,on a white plate,0.9
rhubarb,rhubarb,1.0
golden-brown,golden-brown,1.0
cake,cake,1.0
red,green,0.1
on a plate,located,0.2
pink,white plate,0.1
rough,soft,0.2
cookies,fajitas,0.0
pinkish-red,red,0.8
on a plate,on a black wire,0.1
purple,green,0.2
red,green,0.1
salad,green,0.3
white,green,0.1
atop the salad,on top of,0.7
applesauce,jam,0.3
bowl,dark brown,0.1
red,yellow,0.2
red,green,0.1
silver,silver,1.0
reddish-brown,reddish-brown,1.0
ribs,chicken,0.2
foreground,arranged,0.1
green,chives,0.7
white,white,1.0
on top,on top of,0.9
reddish-orange,white,0.0
rice,fries,0.1
green,red,0.1
sausage,noodles,0.1
easy,easy,1.0
rice,white,0.2
orange-red,white,0.0
on the right side,on the rice,0.2
green,green,1.0
rice,poppers,0.1
fills,fills,1.0
silver,pot,0.1
wooden,metal,0.0
throughout,on top,0.1
white,green,0.1
rigatoni,pasta,0.7
golden-yellow,beige,0.3
on a white plate,beige,0.1
green,green,1.0
green,yellow,0.2
scattered,white,0.0
red,red,1.0
on the egg,atop the quinoa,0.1
risotto,meatloaf,0.1
brown,reddish-brown,0.8
scattered,scattered,1.0
on the left,on the left,1.0
white,green,0.1
roast,salad,0.1
brown,brown,1.0
within,orange,0.0
green,green,1.0
pink,brown,0.2
roast,baking,0.4
on a wooden cutting board,atop a wooden,0.7
golden,yellow,0.7
rolls,fajitas,0.0
brown,browned,0.8
on top,on the crust,0.5
adjacent,together,0.5
golden-brown,golden-brown,1.0
rolls,energy balls,0.3
stacked,arranged,0.6
lighter,rice,0.1
towards the top-left area,on the right,0.0
light pink,red,0.3
salami,browned,0.1
white,light brown,0.4
yellow-orange,light brown,0.3
in the center,in the broth,0.2
BBQ,Greek,0.1
jar,brownish,0.0
submerged,in the rub,0.1
silver,golden,0.5
in the center,positioned,0.3
brownish,brown,0.8
fish,fish,1.0
green,green,1.0
on top of,plate,0.1
salad,dish,0.5
jar,mug,0.4
brown,meat,0.2
on the wooden surface,on the surface,0.7
spilled,spilled,1.0
scattered,clumped,0.1
reddish-brown,brown,0.7
spoon,spoon,1.0
silver,brown,0.1
on top of,in the rub,0.1
bread,kabobs,0.1
halved,golden-brown,0.0
sits on,sits on the left,0.9
yellow,yellow,1.0
loaf,loaf,1.0
chicken salad,salad,0.7
green,white,0.1
in the center,in the center,1.0
cracker,blue,0.0
dark green,dark green,1.0
salad,enchiladas,0.1
located throughout,dark green,0.0
peach,on a plate,0.1
halloumi,cheese,0.7
creamy,green,0.0
bowl,bowl,1.0
red,pink,0.7
adding,adding,1.0
on top,on top of,0.9
white,dark brown,0.1
green,green,1.0
bowl,bowl,1.0
throughout,on,0.2
green,green,1.0
salad,soup,0.2
large,small,0.0
interspersed,piled,0.1
against the base,throughout the creamy mixture,0.0
white,green,0.1
scattered,golden brown,0.1
green onions,onions,0.7
brown,with tan edges,0.2
on a white plate,on a white plate,1.0
red,red,1.0
salad,salad,1.0
spread,lettuce,0.1
purple,purple,1.0
among the leaves,on a dark metal grill,0.0
red,red,1.0
halved,dried,0.1
cucumbers,zucchini,0.7
dill,basil,0.2
on top,dark,0.0
red,red,1.0
bowl,bowl,1.0
silver,wooden,0.0
green,green,1.0
inside a silver bowl,on a plate,0.2
light,green,0.2
cucumbers,cabbage,0.2
red,red,1.0
throughout the blue bowl,on top of,0.1
green,green,1.0
salad,enchiladas,0.1
yellow,yellow,1.0
across the top,on top of,0.9
white,white,1.0
black,black,1.0
salad,salad,1.0
white,white,1.0
yellow,yellow,1.0
white,white,1.0
rice,rice,1.0
green,dark,0.1
with,orange,0.0
orange,orange,1.0
salsa,hummus,0.1
white,dark brown,0.1
tomatoes,in,0.0
in a bowl,on top of,0.2
colorful,interspersed,0.2
bowl,glass,0.2
apricot,pineapple,0.1
green,red,0.1
within the mixture,reddish-orange,0.0
murky,salsa,0.1
white,dark brown,0.1
atop,located,0.2
yellow,white,0.2
distributed,white,0.0
green,green,1.0
white,white,1.0
on top of,on its rim,0.4
black,gray,0.5
bowl,on the right,0.0
reddish-orange,brownish-green,0.2
herbs,reddish-orange,0.0
in the center,in the upper right,0.1
black,black,1.0
salsa,hummus,0.1
yellow,yellow,1.0
green,green,1.0
red,reddish-orange,0.7
salsa,kebab,0.1
spoon,spoon,1.0
white,dark brown,0.1
in the lower left,in the image,0.2
reddish-orange,reddish-orange,1.0
cup,glass,0.5
fills,fills,1.0
on the right,located,0.2
brownish-red,reddish-orange,0.5
red,orange,0.5
salsa,salsa,1.0
fills,clear,0.0
clear,decorative,0.2
homemade,white,0.0
salt,garlic,0.1
red,white,0.2
scattered,in the sauce,0.1
on the upper left,in the bowl,0.1
reddish-brown,beige,0.2
salt,beige,0.1
fills,orange,0.0
light,beige,0.2
above a white bowl,orange,0.0
brown,golden-brown,0.8
sandwiches,fajitas,0.2
white,golden-brown,0.3
green,green,1.0
on a white surface,on top of,0.3
blue,green,0.2
brown,pink,0.1
scattered,scattered,1.0
in the top left corner,on the plate,0.1
blue,green,0.2
scattered,piled,0.2
peanut butter,carrots,0.0
golden-brown,pale,0.1
on a blue plate,on the plate,0.6
pasta,enchiladas,0.1
Italian,Malaysian,0.1
dripping,dripping,1.0
herbs,garnished,0.3
reddish-brown,reddish-brown,1.0
food,pasta,0.8
down the sides,reddish-brown,0.0
brown,white,0.1
sugar,pepper,0.1
amber,reddish-brown,0.5
in a clear glass,sherbet,0.1
bottom,sauce,0.0
yellow,tan,0.6
pasta,fish,0.0
red,vibrant,0.2
on top of,golden-brown,0.0
white,reddish-orange,0.1
orange-red,sprinkled,0.0
spaghetti,noodles,0.8
white,green,0.1
from center to edges,on top,0.1
reddish-brown,brown,0.7
bowl,bowl,1.0
pink,piled,0.0
in the center,in the image,0.2
reddish-orange,red,0.7
sauce,sauce,1.0
fills,covers,0.4
green,pitcher,0.0
to the left,bowl,0.0
red,golden-brown,0.2
wooden surface,wooden,0.8
white,middle of,0.0
next to,on top of,0.3
fills,fills,1.0
brown,brown,1.0
bowl,bowl,1.0
on the rim,on the end,0.3
orange,reddish-orange,0.8
coated,orange-red,0.1
carrots,cucumber,0.2
green,green,1.0
on a plate,on the plate,0.9
reddish-brown,brown,0.7
orange,yellow,0.3
bowl,bowl,1.0
red,red,1.0
on top,on the surface,0.6
brownish-red,reddish-brown,0.9
beef,chicken,0.2
cooked,sliced,0.2
orange,orange,1.0
in the top center,located in,0.2
dark brown,brown,0.8
stew,sauce,0.3
light brown,silver,0.1
golden,in color,0.3
from the surface,from the dish,0.5
yellowish-white,yellow,0.7
forming,yellow,0.0
bowl,on top of,0.0
brownish-red,reddish-brown,0.9
in the bottom-left,located,0.2
golden-brown,blue,0.0
sausage flowers,purple,0.1
brownish-orange,blue,0.0
sprinkled over,on the left side,0.0
silver tray,silver,0.5
sausage,venison,0.2
reddish-brown,reddish-brown,1.0
in a leaf-shaped bowl,bowl,0.5
grilled,grill,0.8
pineapple,peppers,0.2
creamy,tan,0.2
pasta,chips,0.1
white,tan,0.5
on the side,on the left,0.4
triangular,round,0.1
scone,fajitas,0.0
yellow,yellow,1.0
on a plate,round,0.2
white,green,0.1
white,golden brown,0.2
scones,cookies,0.3
golden brown,brown,0.7
in the foreground,on the left side,0.2
yellow,light yellow,0.8
tomato,mushrooms,0.1
green,basil,0.7
towards the center,at the top,0.0
reddish-brown,is,0.0
brown,green,0.1
pumpkin seeds,pumpkin,0.7
sugar,green,0.0
orange,pink,0.1
semifreddo,flan,0.2
silver,white,0.3
off-white,pink,0.1
on a tray,pink,0.0
white,dark brown,0.1
pinkish-orange,white,0.0
in the center,on a white plate,0.1
green,green,1.0
white,green,0.1
shrimp,scallops,0.4
reddish-orange,white,0.0
in the center,located on the left,0.0
blue,green,0.2
shrimp,scallops,0.4
garlic,orange,0.1
pink-orange,white,0.0
on a blue plate,on a bed,0.1
hash brown,rice,0.1
red,brown,0.4
scallions,cheese,0.0
white,green,0.1
pineapple,flowers,0.1
yellow,yellow,1.0
green,green,1.0
on a white plate,on a plate,0.8
corn,cabbage,0.1
yellow,yellow,1.0
scattered,scattered,1.0
red,red,1.0
on the left side,located in,0.2
green,red,0.0
cabbage,okra,0.2
mixed,mixed,1.0
orange,orange,1.0
scattered,mixed,0.5
coleslaw,salad,0.6
orange,orange,1.0
in the bowl,located in,0.3
orange,orange,1.0
glass,glass,1.0
bright,bright,1.0
on the rim,on the rim,1.0
metal,wooden,0.1
slushies,cocktail,0.2
red,reddish-purple,0.6
in a metal tray,reddish-pink,0.0
chocolate,chocolate,1.0
cup,glass,0.6
brown,pink,0.1
pink,particles,0.0
smoothie,juice,0.7
green,green,1.0
on top of,on the upper right side,0.4
chocolate,chocolate,1.0
smoothie,cocktail,0.4
brown,pink,0.1
green,across the surface,0.0
pineapple,strawberry,0.1
clear,clear,1.0
smoothie,juice,0.7
to the right,on the left,0.0
green,particles,0.0
smoothie,juice,0.7
strawberry,blackberries,0.5
on top of,on the rim,0.5
solid,rich,0.2
sorbet,enchiladas,0.0
pale,rich,0.0
off-white,pinkish-red,0.1
rich,vibrant,0.4
sorbet,salad,0.1
purple,orange,0.1
in the bowl,contained,0.2
blueberry,pineapple,0.1
resting,rests,0.8
pale green,white,0.1
golden-brown,on top of,0.0
crispy,foamy,0.1
in the upper-left corner,in the image,0.2
blue,light blue,0.8
mushrooms,tomatoes,0.1
scattered on the surface,on the left,0.1
spinach,spinach,1.0
white,light blue,0.3
soup,soup,1.0
brown,brown,1.0
green,green,1.0
white,blue,0.2
reddish-brown,brown,0.7
in the right half,situated,0.2
vegetables,vegetables,1.0
orange,reddish-orange,0.8
soup,enchiladas,0.1
bread,on the plate,0.1
on top of,on the plate,0.3
spaghetti,fettuccine,0.7
red,red,1.0
cheese,cheese,1.0
around the perimeter,tangled,0.0
reddish-brown,red,0.7
spaghetti,cheese,0.2
chunky,creamy,0.3
light,brownish-orange,0.2
cheese,whipped,0.1
red,red,1.0
in a casserole dish,on the plate,0.2
spaghetti,fettuccine,0.7
scattered,atop the couscous,0.1
meatballs,sauce,0.2
placed on top,on top of,0.9
blue,green,0.2
musubi,kebab,0.1
orange-red,reddish-brown,0.5
around,dark green,0.0
white rice,white,0.5
reddish-brown,brown,0.7
sandwich,drink,0.0
glazed,glossy,0.8
blue,brown,0.1
light-brown,red,0.1
burger,burger,1.0
reddish-brown,red,0.7
on top,above,0.9
spam,falafel,0.0
green,green,1.0
spinach,fries,0.0
white,green,0.1
with a patterned rim,golden,0.0
onions,pine nuts,0.1
fresh,red,0.2
salad,enchiladas,0.1
green,red,0.1
white,purple,0.1
in a bowl,green,0.0
green,green,1.0
spinach,garlic,0.1
haphazard,distributed,0.5
oily texture,watermelon,0.0
spinach,grape leaves,0.3
green,green,1.0
bowl,bowl,1.0
with shallots,with,0.2
green,green,1.0
sprouts,garlic,0.3
blue,white,0.1
bacon,tomatoes,0.1
on a white surface,on a white stovetop,0.9
green,green,1.0
sprouts,garlic,0.3
creamy,creamy,1.0
overlapping,scattered,0.1
green,green,1.0
sprouts,onion,0.3
brown,browned,0.8
scattered across,scattered,0.8
yellow,yellow,1.0
green,green,1.0
sprouts,garlic,0.3
brown,green,0.1
around the sprouts,on the bottom,0.1
green,green,1.0
brussels sprouts,garlic,0.1
white,dark brown,0.2
brownish,charred,0.2
in a bowl,on the upper right side,0.0
dispersed,piled,0.1
green,green,1.0
bowl,within the bowl's rim,0.7
yellowish-white,yellow,0.7
covering,covering,1.0
on top,at the top,0.9
black,brown,0.4
green,brown,0.2
squash,peppers,0.1
orange,yellow,0.3
on a white plate,on the board,0.2
yellow,yellow,1.0
squash,artichokes,0.1
on the concave part,yellow,0.0
green,green,1.0
green,golden-yellow,0.3
yellow,orange,0.7
overlapping,on the board,0.1
on the plate,on the board,0.3
orange-yellow,orange,0.8
squash,garlic,0.1
green,yellow-green,0.7
charred,brown,0.4
in the center,towards the right,0.1
orange,white,0.0
squash,garlic,0.1
blue,white,0.1
in the center-left,in the upper right,0.0
surrounding,displaying,0.2
steak,chicken,0.2
tan,reddish-orange,0.1
brown,brown,1.0
golden-brown,brown,0.7
crispy,rich,0.1
arranged,on the right side,0.1
bowl,across the surface,0.0
white,reddish-brown,0.1
golden-brown,golden-brown,1.0
fish,enchiladas,0.0
white,white,1.0
on the plate,on a plate,0.9
blue,blue,1.0
golden-brown,brown,0.7
green,green,1.0
beneath the steaks,at the bottom,0.3
reddish-brown,reddish-brown,1.0
hamburger,Turkey,0.2
potatoes,potato,1.0
throughout the stew,green,0.0
red,dark brown,0.2
stew,enchiladas,0.1
ham,chicken,0.2
green,green,1.0
on the left,ham,0.0
brown,brown,1.0
scattered,scattered throughout,0.9
orange,orange,1.0
white,dark brown,0.2
brown,brown,1.0
chicken,chicken,1.0
orange,orange,1.0
on the left side,on the rim,0.2
brown,reddish-brown,0.8
tomatoes,tomatoes,1.0
meat,green,0.0
on top,on top of,0.9
yellow,yellow,1.0
yellow,yellow,1.0
atop the center,in the center,0.7
orange-brown,brown,0.7
white,tan,0.5
on the surface,at the top,0.6
translucent,sliced,0.1
savory,spicy,0.5
vegetables,brisket,0.0
green,green,1.0
around the top,around the periphery,0.6
yellow,red,0.2
pink,red,0.5
strawberries,peaches,0.3
displaying,red,0.0
red,red,1.0
on top,on top of,0.9
red,green,0.1
strawberries,figs,0.2
bright,fresh,0.5
on a white paper liner,on top,0.2
red,red,1.0
strawberries,grapes,0.3
brown,pink,0.1
on the bottom,pink,0.0
red,red,1.0
strawberries,grapes,0.3
sliced,sliced,1.0
on the upper side,on the left,0.1
white,white,1.0
red,red,1.0
strawberries,figs,0.2
clustered,arranged,0.6
juicy,shiny,0.2
red,red,1.0
strawberry,red,0.3
glass,red,0.1
bright,vibrant,0.8
on the plate,on the rim,0.3
chestnut,almonds,0.1
brown,on top,0.0
toasted,glistening,0.1
yellow,yellow,1.0
brown,brown,1.0
scattered,scattered,1.0
dish,golden-brown,0.1
white,white,1.0
throughout the dish,brown,0.0
brown,browned,0.8
herbs,mixed,0.1
baking,cooking,0.7
white,white,1.0
scattered,scattered,1.0
brown,golden-brown,0.8
in the center,at the top,0.1
powdered,white,0.2
glass,plastic,0.2
vegetarian,vegetarian,1.0
sushi,fajitas,0.1
black,green,0.0
on the plate,on a white plate,0.8
green,orange-beige,0.2
swordfish,peaches,0.0
atop,red,0.0
red,scattered throughout,0.0
pitcher,jar,0.2
on a tablecloth,on a wooden surface,0.4
orange,orange,1.0
cabbage,brown,0.0
green,green,1.0
carrot,tomatoes,0.2
on top,on top of,0.9
red,green,0.1
tacos,flautas,0.6
golden-brown,golden-yellow,0.8
spilling,spilling,1.0
on a red plate,on a plate,0.7
brown,tan,0.7
plate,with,0.0
on top,on a bed,0.3
topping,pineapple,0.0
tacos,fritters,0.1
red,red,1.0
on plate,on a plate,1.0
green,green,1.0
tacos,fajitas,0.4
golden-brown,golden-yellow,0.8
red,golden,0.1
behind,on the plate,0.0
brown,orange,0.2
taffy,peanut brittle,0.1
white,orange,0.1
orange,orange,1.0
across a white surface,on a plate,0.3
tamale,donuts,0.1
yellow,yellowish,0.9
on a white plate,on a patterned white plate,0.9
golden-brown,golden-brown,1.0
taquitos,fajitas,0.3
brown,golden-brown,0.8
tan,golden-brown,0.2
taquitos,fajitas,0.3
orange,golden-brown,0.5
scattered over,on top,0.2
wooden,wooden,1.0
yellow,puff pastry,0.0
plate,in the image,0.1
white,beige,0.7
toasted,white,0.1
on a plate,scattered,0.1
golden brown,golden-brown,1.0
tater tots,fries,0.5
white,green,0.1
over the tater tots,over the pasta,0.3
orange,amber,0.7
glass,glass,1.0
scattered,float,0.2
brown,cinnamon,0.7
on top,in the wine,0.1
amber,amber,1.0
tea,tonic,0.3
lemon,cranberry,0.1
green,white,0.1
on the surface,at the top,0.6
mug,spiced,0.0
beige,amber,0.4
on a white tiled surface,on top of,0.2
tea,tan,0.2
glass,glass,1.0
tan,amber,0.1
in the center,in the center,1.0
Hot,hot,1.0
Tea,tea,1.0
Amber,amber,1.0
Resting on a saucer,floral,0.0
Ginger,peach,0.1
clear,clear,1.0
green,green,1.0
reddish-pink,tea,0.0
to the left,to the left,1.0
brown,golden-brown,0.8
chicken,chicken,1.0
white,green,0.1
white,green,0.1
tenderloins,chicken,0.2
reddish-brown,on the top,0.0
drizzled,drizzled,1.0
on top,in the lower left,0.0
pink,pink,1.0
pork,chicken,0.2
dark brown,golden-brown,0.5
seared,baking,0.2
from the bottom left,in the front,0.2
golden,brown,0.3
chicken,chicken,1.0
brown,dark,0.3
piled on top,container,0.1
green,green,1.0
white,tan,0.5
tilapia,Flounder,0.2
golden-brown,tan,0.7
to the left,on the left,0.9
textured,textured,1.0
white,white,1.0
red,red,1.0
on top,between the tomato,0.0
ice cream,filled,0.0
located inside,on top of,0.0
tofu,ice,0.0
creamy,white,0.2
scooped,bowl,0.2
tofu,chicken,0.1
red,red,1.0
golden-brown,light brown,0.7
eggplant,skewers,0.1
Agedashi,hummus,0.1
brown,with a green rim,0.1
scattered,arranged,0.1
tan,tan,1.0
shifted to the left,in the,0.0
green,green,1.0
scattered,yellow,0.0
orange,tan,0.4
tofu,meat,0.1
resting between,green,0.0
rice,bowl,0.2
scattered,stacked on,0.0
brown,brown,1.0
scattered,scattered,1.0
broccoli,carrots,0.3
green,green,1.0
tofu,falafel,0.3
blue,green,0.2
on the left side,in the,0.2
golden-brown,golden-brown,1.0
decorative,salad,0.1
tofu,fries,0.1
blue,gold,0.1
on the upper left,in the jam,0.0
mushrooms,ginger,0.1
red,red,1.0
tomatoes,garlic,0.1
white,green,0.1
closer to,over the salad,0.1
green,green,1.0
red,red,1.0
tomatoes,garlic,0.1
yellow,darker,0.0
tomato,noodles,0.0
transparent,casserole,0.0
orange,yellow,0.3
gluten-free,gluten-free,1.0
yellow,brown,0.2
on the plate,on top,0.5
brown,browned,0.8
white,reddish-pink,0.1
meringue,reddish-pink,0.1
browned,caramelized,0.8
amber-colored,translucent,0.1
on a dark surface,on a wooden surface,0.3
white,brown,0.2
tortes,Pan Dulces,0.3
copper-colored,grey,0.2
on a plate,on the left side,0.2
green,on top of this,0.0
mousse,on a pale green plate,0.0
white,green,0.1
brown,reddish-brown,0.8
on top of,at the top,0.8
plum,peach,0.3
round,reddish-brown,0.0
yellow,red,0.2
white,white,1.0
over the surface,on top,0.7
yellow,yellow,1.0
tortellini,fettuccine,0.4
orange,green,0.1
tortellini,fettuccine,0.4
yellow,red,0.2
red,red,1.0
on an orange plate,bowl,0.1
blue,in the bowl,0.0
tortellini,fettuccine,0.4
green,yellow,0.2
powdered,textured,0.2
yellow,yellow,1.0
brown,brown,1.0
in the center,inside the bowl,0.3
yellow-tan,white,0.1
tortillas,biscuits,0.2
stacked,white,0.0
round,white,0.1
tan,white,0.0
tortillas,fajitas,0.6
blue,green,0.2
on top of,with,0.2
tortilla,golden-yellow,0.1
brown,at the opening,0.0
green,green,1.0
on top,on top of,0.9
white,green,0.1
golden-brown,golden-brown,1.0
meat,fries,0.1
on top of,on a plate,0.5
scattered,arranged,0.1
marshmallows,pickles,0.1
congealed,on a silver surface,0.1
on wrinkled sheet,on a terracotta plate,0.1
creamy,clear,0.0
trifle,enchiladas,0.0
yellow,yellow,1.0
on top,on a black wire,0.3
brown,red,0.2
golden-brown,dark brown,0.6
cake,rice,0.1
red,clear,0.1
with whipped topping,topped with,0.7
dessert,clear,0.0
reddish-brown,brown,0.7
Tri-Tip,chicken,0.1
white,plate,0.1
on a plate,on the left side,0.2
yellow-brown,brown,0.8
large,small,0.0
fish,fish,1.0
orange,pinkish-orange,0.8
on the right,located,0.2
fish,mushroom,0.0
yellow,on top of,0.0
on the platter,tan,0.0
fillets,rollups,0.1
