Image,Question,Answer
d4fb68c198a96c5,What type of vegetable is featured in the image,beets
d4fb68c198a96c5,What ingredient is scattered across the beets,horseradish
d4fb68c198a96c5,How is the horseradish distributed across the beets,scattered
d4fb68c198a96c5,Where are the horseradish specks located,across the beets
ed0818a7b6a54fa,What is the bowl like,patterned
ed0818a7b6a54fa,What type of vegetable is in the bowl,beets
ed0818a7b6a54fa,What color are the beets,red
ed0818a7b6a54fa,Where are the beets piled,within the bowl
ed0818a7b6a54fa,How do some beets appear to be coated,coated
9c5725992248c9d,What is the color of the hummus described as,pink
9c5725992248c9d,What is the main ingredient of the hummus,hummus
9c5725992248c9d,Where does the hummus sit,sits
9c5725992248c9d,What is the hummus contained in,bowl
9c5725992248c9d,Where is the bowl located in the image,in the center
782f8acd29e5e53,What color is the smoothie,pink
782f8acd29e5e53,What type of drink is in the glass,smoothie
782f8acd29e5e53,What fruit is placed on top of the smoothie,blackberries
782f8acd29e5e53,What color are the blackberries,dark
782f8acd29e5e53,Where is the straw positioned,to the right
3ec00400723b7d1,Does the berry filling appear glistening,glistening
3ec00400723b7d1,What type of dessert is in the dish,pie
3ec00400723b7d1,What color are the berries in the pie,red
3ec00400723b7d1,Where is the pie placed,in a dish
3ec00400723b7d1,What type of fruit is used in the pie filling,berries
96dd62feccbcd8a,What color is the bowl,white
96dd62feccbcd8a,Is the compote served in a bowl,bowl
96dd62feccbcd8a,Where is the white bowl located,located in
96dd62feccbcd8a,What color are some of the berries in the compote,red
96dd62feccbcd8a,Is the spoon submerged in the compote,submerged
e748409a8251bd7,What color is the bottom layer of the shortcake,golden-brown
e748409a8251bd7,What is the base dessert in this image,shortcake
e748409a8251bd7,What color are the berries on the shortcake,red
e748409a8251bd7,How is the red berry sauce applied to the plate,drizzled
e748409a8251bd7,Where is the dollop of whipped cream and berries located,on top of
e836f94eff7da2a,What type of fruit is visible on top of the whipped cream,raspberries
e836f94eff7da2a,What is the texture of the white topping on the drink,whipped
e836f94eff7da2a,How is the whipped cream arranged on the drink,swirling
e836f94eff7da2a,Where are the raspberries positioned,on
e836f94eff7da2a,What is the pinkish-brown liquid in the glass called,filling
611b47c81b5f6ba,What color is the drink in the glass,red
611b47c81b5f6ba,What is the shape of the glass,tall
611b47c81b5f6ba,What material is the glass made of,glass
611b47c81b5f6ba,Where is the straw inserted,inserted into
611b47c81b5f6ba,What are the loose fruits on the plate,berries
53e3760a31b1ff1,What color is the base of the cake,yellow
53e3760a31b1ff1,What type of dessert is shown in the image,cake
53e3760a31b1ff1,What color are the berries in the middle layer of the cake,purple
53e3760a31b1ff1,What is the glaze doing on the sides of the cut slice,dripping
53e3760a31b1ff1,What is the cake placed on,on a clear glass
868f01d4854af06,What color are the berries in the compote,red
868f01d4854af06,Are there berries in the dessert,berries
868f01d4854af06,Is the compote part of a dessert,dessert
868f01d4854af06,Are the berries mixed in the compote,mixed
868f01d4854af06,Where is the compote located in the image,in the image
93dc32882ea71a0,What color is the base of the bowl,purple
93dc32882ea71a0,What is the food served in,bowl
93dc32882ea71a0,What color are the bananas,yellow
93dc32882ea71a0,Where is the dollop of strawberry located,on the left
93dc32882ea71a0,What fruit is in a cluster on the lower center of the bowl,blueberries
690890222a7189f,What color is the saft in the small glass jar,purple
690890222a7189f,What is the purple saft stored in,jar
690890222a7189f,What color is the saft in the taller jar,pink
690890222a7189f,Where is the silver lid leaning,leaning
690890222a7189f,Where are the jars sitting,on the plate
fe97ed80896dbc4,What color is the dessert,reddish-pink
fe97ed80896dbc4,What type of berries are used as garnish,raspberries
fe97ed80896dbc4,What material are the dessert cups made of,glass
fe97ed80896dbc4,Where are the raspberries placed on the dessert,on the top
fe97ed80896dbc4,What color are the mint leaves,green
1907ea2e5c8cea1,What color is the upper surface of the Runza,golden-brown
1907ea2e5c8cea1,What is the name of the food item in the image,Runza
1907ea2e5c8cea1,What color is the base of the Runza,yellow
1907ea2e5c8cea1,What is the shape of the Runza,oval
1907ea2e5c8cea1,Where is the Runza located,on a patterned plate
f92c1abf16029b3,What color is the bread crust of the bierock,light
f92c1abf16029b3,What is the name of the food item shown in the image,bierock
f92c1abf16029b3,What color is the filling of the bierock,brown
f92c1abf16029b3,Where is the filling located in the bierock,within the bread
f92c1abf16029b3,What type of surface are the bierock halves placed on,metallic
bdbd88379e21966,What color is the crust of the bierocks,golden-brown
bdbd88379e21966,What type of food is shown in the image,bierock
bdbd88379e21966,What color are the sesame seeds on the bierocks,white
bdbd88379e21966,Where are the bierocks placed,on a plate
bdbd88379e21966,What is visible inside the cut-open bierock,filling
ef1e234e28aa521,What color is the baking sheet,tan
ef1e234e28aa521,What type of food is shown in the image,Bierocks
ef1e234e28aa521,What is the predominant color of the Bierock in the upper-left corner,light
ef1e234e28aa521,What color are the markings on the top surface of the Bierock in the upper-left corner,brown
ef1e234e28aa521,Where are two of the Bierocks positioned in the frame,in the upper portion
78163f18fdbbf9e,What type of dish is shown in the image,bierock
78163f18fdbbf9e,What color is the top crust of the bierock casserole,golden-brown
78163f18fdbbf9e,What is visible around the edges of the crust,filling
78163f18fdbbf9e,How does the meat in the filling appear,browned
78163f18fdbbf9e,In which part of the image is the bierock casserole positioned,in the bottom left
922b19aafbb9eb9,What is the design of the plate,patterned
922b19aafbb9eb9,What is the main ingredient of the dish,rice
922b19aafbb9eb9,What color is the majority of the rice,yellow
922b19aafbb9eb9,What color is the section of biryani on the left side,brownish
922b19aafbb9eb9,Where is the brownish portion of the biryani located,on the left
2748f1df49f9aa2,What color are the lamb pieces,light brown
2748f1df49f9aa2,What type of dish is shown in the pot,Biryani
2748f1df49f9aa2,What color is the dense cluster of rice on the right side,yellow
2748f1df49f9aa2,What is the Biryani served with,with rice
2748f1df49f9aa2,Where is the Biryani presented,in a pot
05e085c4a63562f,What quality does the rice have,translucent
05e085c4a63562f,What type of biryani is shown in the image,biryani
05e085c4a63562f,What color are the goat meat pieces,brownish
05e085c4a63562f,What are the goat meat pieces cooked with,with spices
05e085c4a63562f,What is the primary ingredient in the biryani,rice
6e3355c0fcd2b6b,What color are the shrimp in the biryani,orange
6e3355c0fcd2b6b,What is the name of the dish on the plate,biryani
6e3355c0fcd2b6b,Where is the biryani placed,on a plate
6e3355c0fcd2b6b,What is sprinkled on top of the biryani,sprinkle
6e3355c0fcd2b6b,What color is the rice in the biryani,yellow
cfe8274e79d7953,Where is the Slow-Cooked Chicken Biryani located,located in
cfe8274e79d7953,What is the biryani served in,bowl
cfe8274e79d7953,What is sprinkled on top of the rice,sprinkled
cfe8274e79d7953,What color is the rice,brown
cfe8274e79d7953,What type of meat is in the biryani,chicken
809ee8fced81419,What color does the biryani appear,golden-brown
809ee8fced81419,What type of dish is being described,biryani
809ee8fced81419,What color is the interior of the ceramic bowl,beige
809ee8fced81419,Where are the small green herb flecks distributed,across the dish
809ee8fced81419,What color are the small herb flecks,green
076089b62d5101e,What color is the plate in the foreground,white
076089b62d5101e,What type of dish is shown in the image,biryani
076089b62d5101e,What is the overall color of the biryani rice,golden
076089b62d5101e,What color are the peas mixed in the biryani,green
076089b62d5101e,Where is the red pot located,in the background
ed5e5593bff1fb8,What color are most of the biscuits,tan
ed5e5593bff1fb8,What are the items in the image,biscuits
ed5e5593bff1fb8,Where is one biscuit located,located
ed5e5593bff1fb8,What color are the slightly darker hues on some parts of the biscuits,golden-brown
ed5e5593bff1fb8,Where is one biscuit positioned,on the upper left
90fd3b0deae265c,What color is the top of the biscuits,golden-brown
90fd3b0deae265c,What type of baked goods are shown in the image,biscuits
90fd3b0deae265c,What color is the dough inside the split biscuit,yellow
90fd3b0deae265c,Where are the biscuits placed,on a wooden surface
90fd3b0deae265c,What is the appearance of the background material,blurred
574cc214aed1bf4,What color are the Greek Egg Biscuits,golden
574cc214aed1bf4,What type of food is shown in the image,biscuits
574cc214aed1bf4,What is the color of the darker areas on the biscuits,brown
574cc214aed1bf4,Where are the Greek Egg Biscuits placed,on a plate
574cc214aed1bf4,What is the shape of the Greek Egg Biscuits,twisted
dc2a3d27eb04af0,What color are most of the biscuits,yellow
dc2a3d27eb04af0,What type of food item is shown in the image,biscuits
dc2a3d27eb04af0,What process was used to cook the biscuits,baking
dc2a3d27eb04af0,What color are the upper surfaces of the biscuits,browned
dc2a3d27eb04af0,Where are the browned areas more pronounced,on the periphery
2a66270884effd6,What color are the biscuits primarily,yellow
2a66270884effd6,What type of baked goods are shown in the image,biscuits
2a66270884effd6,How are the biscuits arranged,clustered
2a66270884effd6,How do the biscuits appear to be prepared,baked
5bf375d35efc4de,What is the base color of the biscuits,yellow
5bf375d35efc4de,What type of cheese is visible on the biscuits,cheddar
5bf375d35efc4de,What type of food is featured in the image,biscuits
5bf375d35efc4de,Are the biscuits placed in a way that some cover parts of others,overlapping
5bf375d35efc4de,Where are the biscuits placed,on a cloth
9b6e96e4067f1b0,What color are the biscuits on top,golden
9b6e96e4067f1b0,What type of food is shown in the image,biscuits
9b6e96e4067f1b0,What color is the towel underneath the biscuits,blue
9b6e96e4067f1b0,Where is the top biscuit located,on top
9b6e96e4067f1b0,Are the biscuits placed in a way that they cover part of each other,overlapping
ec9f744742de343,What color is the cookie in the foreground,golden-brown
ec9f744742de343,What type of nuts are visible in the cookie,almonds
ec9f744742de343,What is the cookie with almonds called,cookie
ec9f744742de343,What color are the almond pieces in the cookie,with almonds
ec9f744742de343,What color is the surface the cookies are on,beige
e5dbf33f8f038e2,What color are the cinnamon rolls,golden-brown
e5dbf33f8f038e2,How are the cinnamon rolls placed in the pan,arranged
e5dbf33f8f038e2,What are the cinnamon rolls baked in,pan
e5dbf33f8f038e2,What color is the icing on the cinnamon rolls,white
e5dbf33f8f038e2,Where are the cinnamon rolls positioned in the image,in the center
f4f2c56f6af45f8,What is the texture of the spelt biscuits,rough
f4f2c56f6af45f8,What type of food is shown in the image,biscuits
f4f2c56f6af45f8,What color are the spelt biscuits,brown
f4f2c56f6af45f8,Where is the first spelt biscuit located in the pan,in the top left corner
f4f2c56f6af45f8,Where is the third spelt biscuit located relative to the first,below
70200e14fa38a66,What color are the crescent butter biscuits,yellow
70200e14fa38a66,What type of food is shown in the image,biscuits
70200e14fa38a66,What is the light dusting on the biscuits made of,white sugar
70200e14fa38a66,Where are the crescent butter biscuits placed,on a plate
70200e14fa38a66,How do the sizes and orientations of the biscuits appear,various
a75733bc0677785,What color is the top of the first biscuit,golden-brown
a75733bc0677785,What color is the plate,blue
a75733bc0677785,Where are the biscuits placed,on a blue plate
a75733bc0677785,How does the second biscuit appear,layered
a75733bc0677785,Where is the third biscuit located,located
efbb3efb39c88ab,What color is the interior of the split biscuit,yellow
efbb3efb39c88ab,What type of food item is shown in the image,biscuit
efbb3efb39c88ab,What color are the edges of the split biscuit,golden-brown
efbb3efb39c88ab,Where is the split biscuit located,on the left
efbb3efb39c88ab,What is placed on the split biscuit,butter
9a2bd502aaefe20,How are the biscuits arranged in the basket,piled
9a2bd502aaefe20,What type of food is shown in the image,biscuits
9a2bd502aaefe20,What type of cheese is visible in the biscuits,cheddar
9a2bd502aaefe20,What color are the cheddar pieces in the biscuits,orange
9a2bd502aaefe20,Where are the biscuits placed,in the basket
813487b6a3e99dc,What is the main meat ingredient in the biscuit cup,bacon
813487b6a3e99dc,What is the texture of the silver foil cup,crinkled
813487b6a3e99dc,What type of bread is used for the cup,biscuit
813487b6a3e99dc,What color is the melted cheese on the biscuit,yellow
813487b6a3e99dc,What is the cheese doing on the sides of the biscuit,dripping
6431ded02a5a13b,What do the butter swim biscuits appear to do in the description,swim
6431ded02a5a13b,What is the color of the butter swim biscuits,light
6431ded02a5a13b,What color is the top crust of the biscuits,tan
6431ded02a5a13b,Where is the single biscuit located,on a plate
6431ded02a5a13b,What color is the rim of the plate,brown
0d09531e7da3c55,What color is the arrowroot biscuit,pale
0d09531e7da3c55,What is the arrowroot biscuit resting on,is
0d09531e7da3c55,What is the color of the surface of the biscuit,cream
0d09531e7da3c55,Where is the arrowroot biscuit located,on a wire rack
0d09531e7da3c55,How would you describe the surface of the biscuit,textured
a59a028d1e7eb69,What color are the biscuits,golden-brown
a59a028d1e7eb69,What type of food is shown in the image,biscuits
a59a028d1e7eb69,What color is the cloth,grey
a59a028d1e7eb69,Where is the closest biscuit resting,on folded cloth
a59a028d1e7eb69,What is the texture of the biscuits,crumbly
9ecf56e4eff35dd,What color is the base of the biscuits,golden-brown
9ecf56e4eff35dd,What type of food item is shown in the image,biscuit
9ecf56e4eff35dd,What is the texture of the biscuit tops,creamy
9ecf56e4eff35dd,What is the shape of the biscuits,lumpy
c5e1a16960beac2,What color are the biscuits,beige
c5e1a16960beac2,What type of food item is shown in the image,biscuits
c5e1a16960beac2,What container holds the biscuits,bowl
c5e1a16960beac2,Where are the biscuits located,in the bowl
c5e1a16960beac2,How are the biscuits arranged in the bowl,stacked
e16f2b3f6ed32a0,What color are the tops of the biscuits,golden
e16f2b3f6ed32a0,What type of food is shown in the image,biscuits
e16f2b3f6ed32a0,Where is the first biscuit located,located
e16f2b3f6ed32a0,What color is the surface the biscuits are on,white
e16f2b3f6ed32a0,Where is the fourth biscuit located,on top
2ec461abe63c479,What is the shape of the food item on the plate,yellow
2ec461abe63c479,What is the food item on the plate called,biscuits
2ec461abe63c479,How is the biscuit on the plate prepared,split
2ec461abe63c479,Where is the biscuit placed,on the plate
2ec461abe63c479,What is next to the biscuit on the plate,fruit
a0bdab3687cd323,What color are the biscuits,golden-brown
a0bdab3687cd323,What type of food is shown in the image,biscuits
a0bdab3687cd323,What material is the cooling rack made of,metallic
a0bdab3687cd323,Where is the cooling rack placed,on a wooden table
a0bdab3687cd323,How do the top 2 rows of biscuits differ in color from the others,darker
72c615959ec4225,What color are the biscuits,beige
72c615959ec4225,What type of food is shown in the image,biscuits
72c615959ec4225,What color are the flecks on the biscuits,orange
72c615959ec4225,Where are the biscuits located in the image,across the image
72c615959ec4225,How do the sizes of the biscuits compare,larger
6613f6019791b6d,What color is the biscuit in the foreground,yellow-white
6613f6019791b6d,What type of food is shown in the image,biscuit
6613f6019791b6d,What is on the surface of the biscuit in the foreground,dusted
6613f6019791b6d,What color is the surface the biscuits are sitting on,tan
6613f6019791b6d,Where is the biscuit with flour dusted on its surface located,in the foreground
c62e9a54ffd5823,What color is the butternut bisque,orange
c62e9a54ffd5823,What is the bisque served in,bowl
c62e9a54ffd5823,What color is the swirl in the center of the bisque,white
c62e9a54ffd5823,What color are the chives on top of the bisque,green
c62e9a54ffd5823,Where are the chives and pomegranate seeds located,on top of
bb9613e3700e424,What color is the bisque in the image,yellow
bb9613e3700e424,What is the texture of the crab meat in the image,shredded
bb9613e3700e424,What type of seafood is used in the bisque,crab
bb9613e3700e424,Where are the scallions located in the image,scattered throughout
bb9613e3700e424,What vegetable is scattered throughout the bisque,scallions
e7812ebf1d42f1e,What type of soup is shown in the image,bisque
e7812ebf1d42f1e,How are the brown speckles distributed in the bisque,scattered
e7812ebf1d42f1e,What color are the speckles in the bisque,brown
e7812ebf1d42f1e,What does the bisque fill in the image,fills
e7812ebf1d42f1e,Where are the brown speckles mostly located,in the center
5af20b4af7089d8,What color is the bisque,orange
5af20b4af7089d8,What type of meat is in the bisque,lobster
5af20b4af7089d8,What does the bisque fill,fills
5af20b4af7089d8,What type of soup is in the bowl,bisque
5af20b4af7089d8,What color is the plate,on a brown plate
6b1bb7d0bdf1c77,What is the color of the Langostino Bisque,opaque
6b1bb7d0bdf1c77,What are the golden-brown items floating on top of the bisque,croutons
6b1bb7d0bdf1c77,What color is the Langostino Bisque,orange
6b1bb7d0bdf1c77,Where are the croutons located,on top of
6b1bb7d0bdf1c77,What utensil is partially submerged in the bisque,spoon
36b7243ec8ef5e0,What is the color of the bisque,yellow-green
36b7243ec8ef5e0,What type of vegetable is included in the bisque,mushroom
36b7243ec8ef5e0,What is the ladle doing in the bisque,holding
36b7243ec8ef5e0,What material is the pot made of,stainless steel
36b7243ec8ef5e0,Where is the ladle partially submerged,in the bisque
124fe0007a91b05,What color are the cherry tomatoes,red
124fe0007a91b05,What is the main ingredient paired with the tomatoes,tomato
124fe0007a91b05,What color is the plate,white
124fe0007a91b05,Where is the white plate placed,on a white plate
124fe0007a91b05,What color are the basil leaves,green
9c0512d342075e6,What color is the peel of the lemon,yellow
9c0512d342075e6,What fruit is located at the top of the image,lemon
9c0512d342075e6,"What color are the RITZ ""Everything"" Bites",brown
9c0512d342075e6,"Where are the RITZ ""Everything"" Bites placed",on the plate
9c0512d342075e6,What color are the pieces of lox on the crackers,red
646c05025174c68,What color are the pecan snowball cookies,beige
646c05025174c68,What type of food is shown in the image,cookies
646c05025174c68,What color is the powder on the cookies,white
646c05025174c68,Where are the pecan snowball cookies placed,with
646c05025174c68,What is the color of the cookies that are partially hidden,darker
0b19c4145cdec96,What color is the plate,gray
0b19c4145cdec96,What are the light golden-brown items on the plate,bites
0b19c4145cdec96,What color is the glaze on some of the bites,golden-brown
0b19c4145cdec96,What nut is clustered in the center of each bite,walnuts
0b19c4145cdec96,Where are the bites placed,on a plate
8bbcb82bf26cc1b,What color is the wooden serving board,brown
8bbcb82bf26cc1b,What type of cheese is melted on the baguette slices,brie
8bbcb82bf26cc1b,What color are the sugarplums,red
8bbcb82bf26cc1b,Where are the dark red sugarplums placed,on each bite
8bbcb82bf26cc1b,What is the state of the brie on each baguette slice,melted
63cfd7a977ad83c,What color are the cinnamon roll bites,golden-brown
63cfd7a977ad83c,What spice is used in the cinnamon roll bites,cinnamon
63cfd7a977ad83c,What color is the glaze on the cinnamon roll bites,white
63cfd7a977ad83c,Where are the cinnamon roll bites placed,in a pan
63cfd7a977ad83c,What material is the cutting board made of,wooden
ddbf32e72bee6d2,What color are the buffalo chicken bites,reddish-orange
ddbf32e72bee6d2,Where are the buffalo chicken bites located on the plate,located
ddbf32e72bee6d2,What type of meat is used in the dish,chicken
ddbf32e72bee6d2,What are the buffalo chicken bites served on,plate
ddbf32e72bee6d2,Where are the celery sticks and dipping sauce located relative to the buffalo chicken bites,to the right
b43159dcba8f084,What is the pimento cheese served in,bowl
b43159dcba8f084,Where is the bowl located in the image,located
b43159dcba8f084,What is the pimento cheese topped with,with
b43159dcba8f084,What color are the cherry tomatoes on top of the pimento cheese,red
b43159dcba8f084,What type of cheese is in the bowl,cheese
740990fb7f4a6f0,What color are the pita bread bites,tan
740990fb7f4a6f0,What type of bread is shown in the image,pita bread
740990fb7f4a6f0,What color are the diced tomatoes,red
740990fb7f4a6f0,How are the diced tomatoes and green onions placed on the pita bread,sprinkled on top
740990fb7f4a6f0,What is sprinkled on top of the pita bread,tomatoes
6fce583d9138026,What color are the No-Bake Energy Bites,brown
6fce583d9138026,What is the color of the bowl,bowl
6fce583d9138026,What color are the oats on the surface of the energy bites,white
6fce583d9138026,What is the color of the chocolate chips,chocolate
6fce583d9138026,Where are the energy bites located in the bowl,in the center
ade0392e4565691,What color are the sausage biscuit bites,golden-brown
ade0392e4565691,What is the filling in the center of the bites,sausage
ade0392e4565691,What color is the surface the food is placed on,white
ade0392e4565691,Where is the arrangement of the sausage biscuit bites,on a white surface
ade0392e4565691,What color is the sauce in the container,orange
4f7119e88ffb89a,What color is the plate,white
4f7119e88ffb89a,What is the main filling inside the phyllo shells,meat
4f7119e88ffb89a,What color are the visible peppers,green
4f7119e88ffb89a,What color are the phyllo shells,golden-brown
4f7119e88ffb89a,Where are the Philly Cheesesteak Phyllo Bites placed,on the plate
cb16ae02d3f7b28,What color are the lettuce leaves under the venison bites,green
cb16ae02d3f7b28,What type of meat is shown in the image,venison
cb16ae02d3f7b28,Where are the venison bites resting,resting on
cb16ae02d3f7b28,What is the texture of the breading on the venison bites,crispy
cb16ae02d3f7b28,What is the outer layer of the venison bites described as,coated
06add82d08c0d34,What color is the cranberry filling inside the bites,red
06add82d08c0d34,What type of fruit is used in the filling of the bites,cranberry
06add82d08c0d34,What texture does the crust of the cranberry brie bites have,flaky
06add82d08c0d34,What is the color of the plate holding the cranberry brie bites,plate
06add82d08c0d34,Where is one of the cranberry brie bites located on the plate,on the left
1ffb197b9af16e2,What is the taste of the Sweet Potato Energy Bites,sweet
1ffb197b9af16e2,"What are the small, round food items called",bites
1ffb197b9af16e2,What is the color of the Sweet Potato Energy Bites,orange-brown
1ffb197b9af16e2,Where are the Sweet Potato Energy Bites placed,on a plate
1ffb197b9af16e2,What color are the speckles on the Sweet Potato Energy Bites,green
53b6ca31bdf2226,What is the color of the chocolate chips,Chocolate
53b6ca31bdf2226,What color is the peanut butter base,brown
53b6ca31bdf2226,What shape are the snack bites,bites
53b6ca31bdf2226,Where is one bite located in the frame,located in
53b6ca31bdf2226,Where are the chocolate chips embedded,embedded
dcf208f8a3da7dc,What color is the bottom of the left artichoke bite,golden-brown
dcf208f8a3da7dc,What type of vegetable is shown in the image,artichoke
dcf208f8a3da7dc,What color is the top of the left artichoke bite,yellow-green
dcf208f8a3da7dc,How are the artichoke bites positioned on the plate,arranged
dcf208f8a3da7dc,Where are the artichoke bites placed,on a plate
41eb8bef4727fc2,What color is the glass dish,blue
41eb8bef4727fc2,What type of cheese is used in the bites,cheese
41eb8bef4727fc2,What color is the crust of the bread,golden-brown
41eb8bef4727fc2,What herb is sprinkled over the cheese and bread,rosemary
41eb8bef4727fc2,Where is the blue cheese placed,on the bread
8e05d1651e79e51,What pattern is visible on the chocolate coating,striped
8e05d1651e79e51,What is the base of each bite made of,pretzel
8e05d1651e79e51,What color is the pretzel component,light brown
8e05d1651e79e51,Where is the candy corn piece located,on the chocolate
8e05d1651e79e51,What does the candy corn piece do on the chocolate,rests
cb3eab6916aca77,What color are the oatmeal bites,light brown
cb3eab6916aca77,What are the light brown items on the plate,oatmeal bites
cb3eab6916aca77,What color is the plate,turquoise blue
cb3eab6916aca77,What is the jar on the upper right side of the image filled with,of applesauce
cb3eab6916aca77,Where is the small pile of light brown sugar located,underneath
9f9e58ecedf27bd,Where is the lime slice positioned,positioned on
9f9e58ecedf27bd,What fruit is on the rim of the glass,lime
9f9e58ecedf27bd,What type of drink is in the glass,cocktail
9f9e58ecedf27bd,What color is the cocktail,red
9f9e58ecedf27bd,What is around the top of the cocktail glass,rimming
2c204841963547a,What color is the base of the blondies,golden-brown
2c204841963547a,What type of dessert is shown in the image,blondies
2c204841963547a,How are the blondies arranged,stacked
2c204841963547a,What color are the nuts in the blondies,white
2c204841963547a,Where are the blondies placed,on a gray marble surface
43b095f6128ad84,What color are the blondies,brown
43b095f6128ad84,What type of dessert is shown in the image,blondies
43b095f6128ad84,What color are the chocolate chunks,chocolate
43b095f6128ad84,What color is the plate,white
43b095f6128ad84,Where is the separate blondie piece located,on top of
ef243412c49fa7e,What color is the surface the blondies are on,white
ef243412c49fa7e,What type of dessert is shown in the image,blondies
ef243412c49fa7e,What color is the main layer of the blondie,golden-brown
ef243412c49fa7e,What is the dark-brown layer in the blondie made of,cinnamon swirl
ef243412c49fa7e,Where are the blondies placed,on top of
b8e5ee95c0506bd,What color are the blondies,yellow
b8e5ee95c0506bd,What type of dessert is shown in the image,blondies
b8e5ee95c0506bd,What is the color of the center of the blondies,chocolate
b8e5ee95c0506bd,What is sprinkled on top of the blondies,with powdered sugar
b8e5ee95c0506bd,What color is the plate holding the blondie pieces,white
931ef202e4ae891,What color is the plate,white
931ef202e4ae891,What type of dessert is shown in the image,blondies
931ef202e4ae891,What color are the edges of the blondies,golden brown
931ef202e4ae891,How would you describe the texture of the blondies,moist
931ef202e4ae891,Where are the blondies placed in the image,in the foreground
bbb589ca22e38d2,What color are the blondies,white
bbb589ca22e38d2,What type of dessert is shown in the image,blondies
bbb589ca22e38d2,What color are the blondies described as,beige
bbb589ca22e38d2,Where are the white chocolate chips located,on top of
bbb589ca22e38d2,What is the background described as,colorful
5003a2f4350995b,What color are the blondies,light brown
5003a2f4350995b,How are the white chips arranged on the blondies,scattered
5003a2f4350995b,What color are the chips on the blondies,white
5003a2f4350995b,Where are the blondies located in the image,are
5003a2f4350995b,Where are the crumbs scattered,in the center
3ce6005fc7c7a0c,What color are the Chocolate Chip Fluffernutter Blondies,golden-brown
3ce6005fc7c7a0c,What are the dark brown specks visible in the blondies,chocolate chips
3ce6005fc7c7a0c,What type of baked good is shown in the image,blondies
3ce6005fc7c7a0c,What is emphasized by the highlights and shadows on the blondies,texture
3ce6005fc7c7a0c,Where are the crumbs of the blondie located,around the edges
110da9f780fbc3e,What is the color of the blondies,light
110da9f780fbc3e,What type of dessert is shown in the image,blondies
110da9f780fbc3e,What is the color of the blondies' surface,golden-brown
110da9f780fbc3e,Where are the small toffee pieces scattered,across the surface
110da9f780fbc3e,What is the main flavor of the blondies,toffee
eaffe0a11f060c6,What color are the blondies,golden-brown
eaffe0a11f060c6,What type of baked good is shown in the image,blondies
eaffe0a11f060c6,How are the chocolate chips distributed in the blondies,scattered
eaffe0a11f060c6,What is mixed into the blondies,chocolate
eaffe0a11f060c6,Where are the edges of the blondies located,with the edges
a5045f8a829f9f9,What shape are the blondies,square-shaped
a5045f8a829f9f9,What type of dessert is shown in the image,blondies
a5045f8a829f9f9,What color are the blondies,light-yellow
a5045f8a829f9f9,What fruit is on top of the blondies,with cranberries
a5045f8a829f9f9,Where are the loose cranberries located,scattered
88ea9e3f70b499b,What color are the edges of the blondies,brown
88ea9e3f70b499b,What type of dessert is shown in the image,blondies
88ea9e3f70b499b,What color is the interior of the blondies,golden
88ea9e3f70b499b,What are the blondies topped with,with pecans
88ea9e3f70b499b,What color is the plate the blondies are arranged on,white
7e6dae689e22dd5,What color is the plate used for the blondies,light-colored
7e6dae689e22dd5,What type of dessert is shown in the image,blondies
7e6dae689e22dd5,What color are the blondies overall,brown
7e6dae689e22dd5,Where is the drizzle applied on the blondies,on top
7e6dae689e22dd5,What is the darker brown topping on the blondies,drizzle
a0cf475b8c53644,What color are the blondies,golden-brown
a0cf475b8c53644,What type of dessert is shown in the image,blondies
a0cf475b8c53644,What is the color of the layer around the bottom edges of the blondies,caramel
a0cf475b8c53644,Where are the blondies positioned,inside a clear glass
a0cf475b8c53644,What does the slightly uneven surface of the blondies suggest,homemade
215bec8bb42b7c9,What material is the surface the blondies are on,wooden
215bec8bb42b7c9,What type of dessert is shown in the image,blondies
215bec8bb42b7c9,What color are the raspberry specks in the blondies,red
215bec8bb42b7c9,What flavor combination is featured in the blondies,Raspberry-White
215bec8bb42b7c9,Where are the blondies placed,on top of
947920a2552b07f,What color is the bowl holding the blondies,orange
947920a2552b07f,What type of dessert is shown in the image,blondies
947920a2552b07f,What color is the crust of the blondies,golden-brown
947920a2552b07f,Where are the blondies placed in the image,inside
947920a2552b07f,What type of candy is present in the image,Halloween candy
26adb43627b6878,What color is the cake base,golden-yellow
26adb43627b6878,What type of dessert is shown in the image,cake
26adb43627b6878,What color is the blueberry compote,purplish-blue
26adb43627b6878,Where is the cake placed,on a white plate
26adb43627b6878,What is the color of the whipped cream,cream
8ab17b4ad19c413,What fruit is located in the clear glass bowl in the upper left,raspberries
8ab17b4ad19c413,Where are the raspberries located,located in
8ab17b4ad19c413,What fruit is in the bowl below the raspberries,blueberries
8ab17b4ad19c413,What is the cream cheese mixed with,mixed
8ab17b4ad19c413,What color is the spoon,silver
ea8f73bb40e0b67,What is the overall color tone of the dish,dark
ea8f73bb40e0b67,What is the sauce doing to the blueberries,covering
ea8f73bb40e0b67,What color is the sauce in the dish,red
ea8f73bb40e0b67,What color is the baking dish,beige
ea8f73bb40e0b67,Where is the mixture spread,within the baking dish
d4e3633093e04ac,What is the dominant color of the blueberry filling,purple
d4e3633093e04ac,What type of fruit is used in the bake,blueberry
d4e3633093e04ac,What does the blueberry filling do to the visible area of the bake,covers
d4e3633093e04ac,What color are the dumpling-like pieces scattered throughout the bake,tan
d4e3633093e04ac,Where are the dumpling-like pieces distributed in the bake,throughout the bake
