Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
a72579744b544da,What color is the mango-lime curd?,yellow,What is the name of the food in the glass dessert dish?,curd,What type of dish is the mango-lime curd in?,glass,Where is the spoon in relation to the curd?,submerged inside,What is the texture of the mango-lime curd??,smooth
69f5b6e41fcf9a4,What color is the banana curd?,light,What fruit is used to make the curd?,banana,What color are the streaks on the plate?,brown,Where is the clear glass jar situated?,on top of,Where is the plate placed in the image??,plate
432fa35df5cdbb7,What color is the curd inside the jar?,pink,What is the name of the food item in the jar?,curd,What flavor is the curd?,Strawberry-Lime,Where is the curd on the spoon located?,on a spoon,Where is the curd inside the jar located??,inside the jar
d76d9b793333eea,What color are the cheese curds?,golden-brown,What are the cheese curds served on?,plate,What is the main ingredient of the dish?,cheese,What type of frying was used to cook the cheese curds?,of deep-fried,What color is the pattern on the plate??,blue
e440e659ed52016,What is the texture of the yellow substance in the jars?,smooth,What containers hold the yellow substance?,jars,What color is the substance in the jars?,yellow,Where is the jar with the spoon located?,on the right,What fruit is sliced and placed near the jars??,pineapples
77315c4f47d5329,What is the texture of the grapefruit curd like?,curd,Where is the grapefruit curd sitting?,sitting,What type of bowl is the grapefruit curd in?,glass bowl,How does the grapefruit curd appear in terms of consistency?,creamy,Where is the grapefruit curd positioned in relation to the grapefruit halves??,below
8b2b3dfc12e28d5,What is the main protein in the curry?,chicken,What color is the curry sauce?,yellowish-brown,What type of dish is being described?,curry,What vegetable is mentioned alongside chicken in the curry?,potatoes,Where is the Chicken Curry II located in the image??,in the center of
07f5f56023be5f7,What color is the curry rice?,golden brown,What is the main ingredient in the dish besides fish and peas?,rice,What color are the fish fillets?,white,Where are the fish fillets placed?,on top of,What color are the peas??,green
3b8dc3c64e4f79b,What color is the rice?,white,What is the main ingredient in the fluffy mound on the left side?,rice,What color are the cilantro leaves?,green,Where is the rice positioned in the bowl?,on the left side,How would you describe the overall dish in terms of color??,colorful
071be35c2ccc0c1,What color is the fish curry?,reddish-orange,Where is the fish curry located?,located on,What is the fish curry served on?,white rice,How are the cilantro leaves arranged?,scattered,What color are the cilantro leaves??,green
6c0637c760a75cd,What color is the curry sauce?,yellow,How is the curry portion served?,served,What color is the plate the curry is served on?,white plate,What is the texture of the curry sauce?,creamy,What color is the ladle resting on the curry??,black
509e488a3af0a4e,What color is the beef in the dish?,brown,What type of meat is used in the dish?,beef,What color are the lime slices in the dish?,green,Where is the light brown rim located?,with a light brown rim,What vegetable is round and golden-yellow in the dish??,potatoes
06f7eaa7b3553d9,What color is the broth of the soup?,yellowish-brown,What type of dish is the Vietnamese-Style Chicken Curry?,soup,What color are the diced bell peppers in the soup?,red,Where is the wooden spoon located in the pot?,in the pot,What is the state of the wooden spoon in the soup??,submerged
acc4f734c378680,What color is the bowl the curry is served in?,white,What type of dish is being described?,curry,What color is the curry?,brown,What vegetable chunks are visible in the curry?,potatoes,Where is the large portion of white rice placed??,in the center
f4937d71c74ba69,What is the color of the pumpkin in the curry sauce?,important,What color are the peas in the curry sauce?,pumpkin,What is the curry sauce surrounding?,yellow,What is the color of the curry sauce?,with,What vegetable is mixed with the pumpkin in the curry sauce??,green
8db5f773ffefbae,What color is the sauce in the Filipino Chicken Curry?,yellow,What type of meat is in the Filipino Chicken Curry?,chicken,What color are the rice grains in the round bowl?,beige,What is placed on top of the Filipino Chicken Curry as garnish?,garnish,What does the Filipino Chicken Curry consist of??,consists
e2d59596bf4118d,What color is the sardine curry?,tan,What type of dish is the sardine curry?,curry,Where does the curry sit?,sits,What color is the rice?,white,Where is the curry located in relation to the rice??,on top of
21d55487638b1d9,What type of cuisine is the curry?,African,What is the main dish in the image?,curry,What color is the bowl?,white,What color is the curry in certain areas?,golden-brown,Where are the green onions located??,on top of
7ba32103427cb1a,What color are the chickpeas?,golden-yellow,What is the main dish in the image?,curry,What color are the diced tomatoes?,red,Where are the chickpeas located in the curry?,within,What type of bread is on the plate??,naan bread
458531a9ace07b5,What color is the bowl?,white,What is the curry served in?,bowl,What color are the beef cubes?,brownish-gray,What does the curry consist of?,consists,Where is the bowl placed??,on a wooden surface
14057c68bb38dd6,What color is the chili?,reddish-orange,What type of dish is the reddish-orange food?,chili,What color is the rice?,white,Where is the chili located in relation to the rice?,on top of,What color are the small pieces mixed into the chili??,green
2256040595b90ae,What color is the bowl?,white,What type of dish is the Burmese Chicken Curry?,curry,What color are the chunks of chicken?,brown,Where is the pile of white rice located?,in the center,What color are the carrot slices??,orange
21080967686f999,Is the curry in the image vegetarian?,vegetarian,What is the shape of the bowl containing the curry?,bowl,What color are the kidney beans in the curry?,brown,What color are the small chunks of a darker brown ingredient in the curry?,red,Where is the bowl containing the curry placed in the image??,in a white
dc99241f29373ad,What color is the curry in the image?,orange,What is one of the main ingredients in the curry?,tofu,What type of dish is shown in the image?,curry,What color are the sweet potato chunks in the curry?,sweet potato,What is in the center of the image??,in the center
bdcf98ccafe2a91,What color are the pumpkin pieces?,orange,What is the main vegetable in the curry?,pumpkin,What type of nuts are scattered throughout the curry?,cashews,What color are the cilantro leaves?,green,Where are the pumpkin pieces mostly located??,in the center
0307a5876c6e55c,What color is the plate?,black,What is the base of the dish made of?,rice,What is the main dish served with the rice?,curry,What color is the potato lentil curry?,orange,Where is the potato lentil curry placed??,on top
a0259f5061c5db2,What color are the beans in the dish?,green,What type of beans are used in the curry?,beans,What is the texture of the green beans in the dish?,coated,What color are the onions in the dish?,red,Where is the curry sauce visible on the plate??,on the white plate
06c7aec3b94a536,What is the spoon made of?,wooden spoon,What is presented on the wooden spoons?,spices,How are the spoons arranged?,arranged,What type of cuisine is the curry powder associated with?,Jamaican,Where is the Jamaican Curry Powder located in the image??,on the bottom right corner
f9f0e476a5bcbc4,What type of dish is shown in the image?,Curry,What is the primary color of the dish?,yellow,How are the sweet potato pieces distributed in the dish?,scattered,What vegetable with an orange hue is visible in the dish?,sweet potato,In which portion of the pot are the sweet potato chunks more concentrated??,in the lower portion
ff9c5efd15537cf,What color is the bowl?,white,What is the curry served in?,bowl,What color are the cauliflower florets?,yellow,What vegetable is in the center of the curry?,cauliflower,What is the cauliflower located in??,in the center
4635fca262b89a5,What is the rice doing in the bowl?,filling,What is the main ingredient in the dish?,rice,What color is the parsley on top of the rice?,green,What is the rice served in?,bowl,Where is the parsley placed??,on top
8b511bd216e431b,What color is the rice in the bowl?,white,What is the rounded shape at the top center of the bowl?,rice,What is the rice garnished with?,garnished with,What color is the potato-like chunk to the right of the rice?,yellow,What color are the sweet potato cubes in the stew??,orange
9b465bccb65e9ed,What color are the bean sprouts in the bowl?,white,What is the color of the bowl?,bowl,What color are the herbs in the broth?,green,Where is the carrot slice located on the spoon?,on the left,What color is the broth in the bowl??,light brown
4c8fa219afcd40c,What color are the chunks of tofu?,golden-brown,What type of protein is included in the dish?,tofu,What color are the broccoli florets?,green,What is the dish served with?,with tofu,What vegetable is sliced and vibrant orange??,carrots
1933d4e017c142d,Where is the butternut curry located?,located on the left side,What color are the butternut squash pieces?,orange,What color is the curry sauce?,yellow,What is the main ingredient in the curry?,butternut squash,What is used as a garnish??,garnish
827760dd9d487f9,What color are the pretzel pieces?,tan,What is the Curry Party Mix served in?,bowl,What dried fruit is visible in the mix?,cranberries,What color are the Chex cereal pieces?,golden-brown,Where are the cranberries located in the mix??,in a bowl
b28293adc164568,What is the flavor of the curry powder?,mild,What is the form of the curry powder?,powder,What color is the mortar?,gray,What color is the curry powder?,yellowish-brown,Where is the mortar positioned in the image??,on the upper right side
a09e8ca65c567a9,What color is the curry sauce?,reddish-brown,Where is the curry sauce located?,plate,What color are the asparagus spears?,green,Where is the curry sauce in relation to the rice?,on top of,What vegetable is located at the top of the plate??,asparagus
f1887d91ba144bf,What material is the bowl made of?,glass,What color is the section near the bottom of the bowl?,orange,What color are the dried herbs in the bowl?,green,What color is the section of powder above the light tan?,red,Where is the off-white section located in the bowl??,in a bowl
4fd0ac70d85c9e5,What color is the curry?,brown,What does the curry fill?,fills,What color is the bowl?,white,What is scattered throughout the rice?,corn,What is the curry served with??,with rice
bb0165893d9989c,What color describes the cauliflower besides golden?,creamy,What vegetable is shown in the image?,cauliflower,What color describes the cauliflower besides creamy?,golden,What spice is used with the cauliflower?,with curry,Where is the cauliflower placed for roasting??,on a baking sheet
4b0d72e64f37e88,What is the main dish in the image?,curry,What color are the darker jackfruit pieces?,brown,What color are the cilantro leaves scattered across the curry?,green,What is the main ingredient in the dish besides curry?,jackfruit,What is the appearance of the onions in the curry??,sliced
c2c5942e3f6aa70,What color is the custard?,yellow,What is the custard being prepared for?,baking,What color are the edges of the custard?,browned,Where is the custard dish placed?,on a dark gray counter,What is the custard covered with??,covered
9f71e856acf6a2b,What color is the custard?,light,What type of dessert is shown?,custard,What color is the ramekin?,brown,What does the custard do to the ramekin?,fills,Where are the salt crystals located??,on the top
c4d48cc19829d23,Where is the custard located?,located,What color is the bowl?,light-blue,What is the texture of the custard?,creamy,What fruits are on top of the custard?,berries,Where are the berries placed??,on top of it
f60ec7668b37784,What color is the egg custard?,yellow,What type of dessert is in the bowl?,egg custard,What does the top layer of the egg custard look like?,speckled,What color is the surface the bowls are on?,gray,Where is the back bowl resting??,on a white marble surface
f665018074c54fb,What color is the Puerto Rican Breakfast Custard?,tan,What is sprinkled on the custard?,custard,What color is the cinnamon powder on the custard?,brown,What is the toast served with?,with,Where is the piece of toast located??,on the upper left
b0ca546137615ee,What is the buttercream doing to the cake?,covering,What is the dessert in the image?,cake,What do the piped patterns resemble?,roses,How are the piped patterns arranged?,swirling,Where are the roses covering the cake??,over the entire surface
3751ad3d1d456e0,What color is the custard?,yellow,What is the dessert in the image?,custard,What color is the caramel on top of the custard?,reddish-brown,What has happened to some of the caramel sauce?,spilled over,What is the layer on top of the custard made of??,caramel
3bde60851fad917,What color is the frozen custard?,yellow,What type of dessert is shown in the image?,custard,Where is the custard located?,located,What material is the dessert dish made of?,glass,Where is the spoon inserted??,into the custard
a9f82b770d38b0d,What color is the custard?,yellow,What is the custard served in?,custard,What color is the mug?,white,Where is the mug placed?,on a matching saucer,What is on the surface of the custard??,dusting
7199eacddca0d09,What is the main ingredient in the dish shown in the image?,custard,What color variations are present in the custard?,brown,What type of dish is the custard contained in?,clear,What process was likely used to prepare the custard?,baking,How are the color variations distributed in the custard??,throughout
956ef51322978bf,What is the dessert in the image called?,custard,Where is the first Maple Syrup Custard Cup located?,located in,What flavor is the custard in the image?,Maple,What utensil is used to scoop the custard?,spoon,What color is the top of the custard in the center cup??,browned
10ea67a6e046fb8,What color is the cake?,yellow,What is the main dessert in the image?,cake,What fruit is mixed within the custard filling?,strawberries,What color are the strawberries?,red,Where is the custard filling located in the cake??,between the layers
27e3199778a659b,What color is the custard on top?,golden-brown,What fruit is nestled within the custard?,blueberries,How is the custard presented?,served,What color are the blueberries?,purple,What type of dish is the custard served in??,in a white dish
f7176aebb2ac9dd,What color is the custard in the bottom left corner ramekin?,orange,What are the desserts served in?,ramekins,How are the white ramekins arranged around the green one?,arranged,What color is the center ramekin?,green,What color are the custards with pecans embedded in the top??,brown
938c91ef3f2cc96,What color is the baked pumpkin custard?,orange-brown,What type of dessert is in the bowl?,custard,What does the custard do to the bowl?,fills,What color is the whipped cream?,white,Where is the bowl placed??,on the plate
cba251235bce7cf,What type of dessert is in the ramekins?,custard,What is the ramekin centered in the frame filled with?,filled,What are the small containers holding the custard called?,ramekins,What color are the ramekins?,white,Where is the centered ramekin located??,in the frame
d7789f2cbb706dc,What is the texture of the custard described as?,creamy,What type of dish is used to hold the custard?,ramekins,What color is the custard in the ramekins?,yellow,Where is one of the oval ramekins positioned?,on the left,What is the custard doing on the cooling rack??,cooling
c1ad4e020c3b05e,What color are the raspberries in the custard?,red,What type of dessert is being described?,custard,What is the condition of the custard's surface?,cracked,What type of berries are dark blue or black in the custard?,blueberries,Where are the berries distributed on the custard??,across the surface
7ce6201a3bfee24,What color is the custard?,brown,What is the color of the bowl's contents?,fills,What color fills the bottom of the bowl?,bowl,What is the color of the whipped cream?,white,What is on top of the custard??,on top of
69bdb32cebe1b25,What flavor is the custard?,chocolate,What type of dessert is shown in the image?,custard,What color are the raspberries on the surface?,red,What type of fruit is mixed into the custard?,berries,Where are the berries located??,on the surface
6ac38886e455b80,What color is the bottom pork cutlet?,golden-brown,What type of meat is shown in the image?,pork,How has the pork been cooked?,fried,What color is the plate?,white,Where are the cutlets positioned in the frame??,in the lower-left
1cea3527a3386da,What color are the chicken cutlets?,golden-brown,What type of food is stacked on the plate?,cutlets,What color is the sauce drizzled over the cutlets?,white,Where are the chicken cutlets placed?,on the plate,What color is the tomato on the plate??,red
d72be19d8c5e314,What color are the chicken breast cutlets?,pale,What type of meat is being served?,chicken,What color are the capers?,brown,Where are the sun-dried tomatoes placed?,on top,What color is the plate??,red
70989283df62efd,What type of meat is located on the lower right side of the plate?,chicken,Where are the apple slices located?,located on,What is the appearance of the sauce on the apple slices?,glazed,What color is the sauce on the apple slices?,amber,How are the vegetables arranged on the plate??,arranged
a849314a5fd89b8,What color is the exterior of the vegetable cutlet?,golden-brown,What type of food is shown in the image?,cutlet,What color are the flecks embedded within the cutlet?,green,Where is the green bean stick located?,on the lower left edge,What color is the paper towel under the cutlet??,white
2ad452db0c00efc,What color are the potato cutlets?,golden,What shade describes the darker areas of the cutlets?,brown,Where are the cutlets clustered?,clustered together on,How does the texture of the cutlets appear?,rough,How do the cutlets look overall??,appearing
c379a15685c1487,What is the daiquiri contained in?,contained,What color is the daiquiri?,red,What type of drink is this?,fruit,What type of glass is the daiquiri served in?,clear,Where is the frothy appearance located??,near the top
d7748931e63a3d0,How would you describe the color of the Strawberry Daiquiri?,vibrant,What type of drink is shown in the image?,daiquiri,What is on top of the Strawberry Daiquiri?,topped,What color is the whipped cream on the drink?,white,Where are the fresh strawberries located??,on the surface
f9b928117774fd5,What is the glass of the Daiquiri made of?,clear,What is the rim of the glass coated with?,sugared,What is the color of the Daiquiri?,white,Where is the lime slice placed?,resting on,Where is the glass positioned??,perched
b01fa95050eb9d9,What color is the cocktail?,white,What are the lime slices doing in the cocktail?,floating,What is the cocktail served in?,glass,What color are the lime slices?,green,Where is the Daiquiri Cocktail located in the image??,in the center of
1e804b502498014,What color is the blended strawberry daiquiri?,red,What fruit is used to make the daiquiri?,strawberry,How is the strawberry daiquiri presented?,served,What is the shape of the glass used for the daiquiri?,tall,Where is the blended strawberry daiquiri located in the image??,in the center-left
3612ef10a81a9b2,What color is the Dal Makhani?,reddish-brown,What does the Dal Makhani fill in the image?,fills,How does the texture of the Dal Makhani appear?,creamy,What garnish is floating on top of the Dal Makhani?,cilantro,Where are the cilantro pieces located??,on top
eeec9d337ae8b66,What color is the bowl?,green,What is the dal served in?,bowl,What is the color of the plate?,served,Where is the bowl placed?,white,What pattern is on the gray plate??,on a gray plate
0fee25bf9389941,What color are the leafy pieces of spinach in the soup?,green,What type of dish is the Spinach and Tomato Dal?,soup,What color are the diced tomatoes in the soup?,red,What is the texture of the soup's base?,creamy,Where are the diced tomatoes located within the soup??,within
541303db93e861d,What color is the base of the soup?,green,What type of dish is the Moong Dal?,soup,What is the soup doing to the image?,covering,What color are the lentil pieces in the soup?,yellow,Where is the higher concentration of the soup texture located??,in the lower right quadrant
cc2e00dd885336d,What is the main component of the dish?,dish,What is the dal doing to the Chakolya pieces?,immersing,What color are the spices in the dish?,dark,What are the small dark items scattered throughout the dish?,spices,Where are the Chakolya pieces scattered??,across the bowl
26585b5354589cb,What color is the plate?,light blue,What type of pastries are on the plate?,danish,How are the danishes placed on the plate?,arranged,What color are the danishes?,golden-brown,Where is the first danish located??,on the left
9d75e09a6d849e8,How are the pastries arranged on the plate?,arranged,What type of food is shown in the image?,pastries,What color is the jam filling in the pastries?,red,What pattern is on the plate?,with a red and white floral pattern,What color are the pastries??,golden-brown
7c96df80891e3e6,What fruit is used in the danish filling?,raspberry,What color is the crust of the pastry?,golden-brown,Where is the raspberry danish placed?,plate,What color is the raspberry filling?,red,Where are the pieces of raspberry danish located??,on a plate
8d115c2d0591411,What color is the plate?,blue,What type of food items are shown in the image?,pastries,What color are the pastries?,golden brown,What is the texture of the cream cheese filling?,creamy,Where are the pastries placed??,on a plate
39f58422ee9688b,What is the shape of the apple danish?,rectangular,What type of pastry is shown in the image?,apple danish,What color is the pastry?,golden-brown,What is visible through the braids of the pastry?,through the braids,What color is the baking sheet??,gray-white
805577cb0e378b8,What color are the date squares?,golden-brown,What shape are the date squares?,squares,What is the name of the dessert in the image?,date,Where are the date squares located?,in,What process is used to cook the date squares??,baking
096fb16c8bfe61a,What color are the dates?,brown,What type of fruit is used in this dish?,dates,What are the dates filled with?,stuffed,What color is the goat cheese stuffing?,white,Where are the Goat Cheese Stuffed Dates placed??,on a light brown wooden tray
ec9b7e24d5fa74f,What color are the dates?,brown,What type of fruit is shown in the image?,dates,What color is the cream on top of the dates?,white,Where is the white cream placed?,on top,What is the texture of the dates??,wrinkled
86dea6f96be3498,What is the color of the loaf?,tan,What is the shape of the uncut section of the loaf?,loaf,How is the slice in the bottom-left corner positioned?,leaning,What color is the plate?,white,What color are the darker brown pieces in the loaf??,with darker brown pieces
0140c0e63b3cef9,What color is the cake primarily?,brown,What type of dessert is shown in the image?,cake,What color is the baking pan?,red,What is the cake decorated with on top?,with chopped,What is scattered around the sliced piece of cake??,scattered
a74255f4a7d688a,What color is the plate?,blue,How are the date sticks placed on the plate?,arranged,What are the rectangular items on the plate called?,date sticks,What color is the crust around the edges of the date sticks?,light brown,Where are the date sticks placed??,on a plate
aca28cb15647741,What color is the base of the date rounds?,beige,What shape are the date rounds?,rounds,How are the crunchy pieces attached to the date rounds?,adhered,Where are the date rounds placed?,on a black wire rack,How many date rounds are on the rack??,six
bbea99f490b670d,What color are the bars?,golden,What are the three items in the foreground?,bars,What color is the mix of the bars?,brown,Where are the bars placed?,on a plate,What is the clear glass dish used for??,baking
49cbf8833536cb0,What color are the dates?,brown,What type of fruit is shown in the image?,dates,What color is the bacon in some areas?,white,What color is the bacon in other areas?,reddish-brown,What is the color of the plate??,on a white plate
3872ea0df61d308,What color is the date filling in the middle of the closest date crumble square?,brown,Where are the date crumble squares placed?,plate,What process was likely used to make the date crumble squares?,baking,What color is the upper layer of the date crumble square compared to the lower layer?,golden,Where is the dark brown date filling located in the date crumble square??,in the middle
f6fd1014d1b13e4,What type of dessert is shown in the image?,Turkish Delight,What is covering many of the Turkish Delight pieces?,coated,What color is the powder coating the Turkish Delight pieces?,white,How are the Turkish Delight pieces arranged in the frame?,scattered,Where are the Turkish Delight pieces placed in the image??,across the frame
70988e820aeae70,What color is the topping of the dessert?,white,What type of dish is the Four-Layer Delight?,dessert,What is scattered across the white topping?,chopped,What does the white topping cover?,covers,What shades do the chopped pecans vary in??,in shades of
150c2a9d2f23784,What color is the cherry topping?,red,What type of dish is shown in the image?,dessert,What color is the creamy layer?,white,How is the dessert structured?,layered,Where are the smears of white cream and crumbs located??,around the edges
78d567c2ee7150b,What color is the bottom layer of the dessert?,brown,What is the texture of the bottom layer of the dessert?,crust,"Where does the white, creamy layer sit?",sits on,What is drizzled over the entire slice of the dessert?,drizzle,What color is the creamy layer on top of the dessert??,white
1702328f8885d55,What shape is the baking dish?,rectangular,What flavor is the base layer of the dessert?,vanilla,What color is the vanilla layer?,white,What is sprinkled across the entire surface of the vanilla layer?,sprinkled,Where are the chocolate shavings located??,across the entire surface
a2928ac3bf8bd5e,What color is the plate?,white,What type of food is the Mom's Texas Delight?,dessert,What color is the bright layer in the dessert?,yellow,Where is the dessert placed?,on a plate,What color are the nuts on top of the dessert??,brown
db498bb790ae0a8,What color is the base of the delight in the foreground?,brown,What is the color of the plate holding the delights?,plate,What color are the cherries on the delights?,red,Where are the Walnut Cherry Delights placed?,on a white plate,What type of nuts are visible on the delights??,walnuts
83e3dcbdd94a2af,What color are the cookies?,brown,What is the food item in the image?,cookies,What color are the pieces embedded in the cookies?,red,Where are the cookies placed?,on the plate,What do the darker edges of the cookies suggest??,caramelized
edd00fb5e8be286,What color is the bottom layer of the dessert?,yellowish,What type of dish is the Make-Ahead Coconut Cream Frozen Dessert?,dessert,What color is the checkered pattern on the plate?,red,Where is the dessert placed?,on a plate,What color is the spoon??,silver
dbbbfa9fefb3345,What color is the meringue topping?,white,What type of dish is the Strawberry Rhubarb Meringue?,dessert,How does the meringue topping appear?,toasted,What material is the baking sheet made of?,metal,Where is the dessert sitting??,on a dark metal baking sheet
bd22497ae4b2256,What color is the raspberry mixture in the dessert?,red,What is the creamy white layer in the dessert made of?,yogurt,What is the texture of the cookies on top of the yogurt?,crumbled,Where do the dark blackberries lie?,lie on the wooden surface,What color is the background of the image??,blue
00c972776282f93,What type of food is the image showing?,dessert,What is the fork doing to the dessert?,taking,What color is the plate under the dessert?,white,Where are the strawberries positioned in the dessert?,on top,What is the texture of the red sauce on the strawberries??,glossy
e50bdc892d8fd0a,What color is the top layer of the dessert?,red,What type of dish is the Annie's Strawberry Dessert?,Dessert,Where does the sprig of green mint leaves sit?,sits on,What is the texture of the white layer in the dessert?,creamy,What color is the bottom layer of the dessert??,golden-yellow
12266038bab0486,What color is the pecan filling?,brown,What is the dessert in the image?,is,What type of dessert is the Heide's Kentucky Derby Dessert?,pie,What color is the crust of the pie?,golden-brown,Where is the pie placed in the image??,in a round glass dish
f841a3abb2f3c1e,What color is the gelatin dessert?,brown,How would you describe the surface of the gelatin dessert?,glossy,What is sprinkled on top of the whipped cream?,sprinkled,What type of berries are scattered around the gelatin?,raspberries,Where are the raspberries located in relation to the gelatin??,on top
8287adc93771dee,What color is the creamy filling?,white,What type of food is shown in the image?,dessert,What color are the strawberry pieces?,red,Where are the strawberry pieces located?,on top,How are the desserts arranged in the image??,scattered
4dfe90d2ef41254,What color is the fruit filling in the dessert?,pinkish-red,How is the crumble topping arranged on the dessert?,distributed,What color is the crumble topping?,golden-brown,What part of the dessert contains the fruit filling?,filling,Where is the fruit filling located in the dessert??,towards the bottom
f7d5f588aaff15e,What color is the creamy base of the dessert?,white,What type of food is the Jimmy Carter Dessert?,dessert,What color are the chocolate chips on top of the dessert?,chocolate,What color are the pecans on top of the dessert?,brown,Where are the chocolate chips and pecans located on the dessert??,across the top
ed592ab7118fffb,What color is the base layer of the dessert?,yellow,What type of food is the lemon pineapple dessert?,dessert,What fruit is scattered along the top edge of the yellow dessert base?,blueberries,What color is the whipped topping on top of the dessert?,white,Where are the blueberries located in the dessert??,on top
4dc0b510ae9bc8b,What color are the desserts?,green,What type of food items are shown in the image?,desserts,How are the desserts placed on the tray?,arranged,Where are the desserts placed?,on a white tray,What material are the bowls made of??,glass
2fb76163ca4c4cd,What color is the dessert?,green,What is the texture of the dessert?,creamy,What is inside the glass?,filling,What is visible on the surface of the dessert?,visible,Where is the mint placed??,on top of
be28c18452a0c6e,What color is the cake predominantly?,pink,Where does the cake sit?,sits,What is the shape of the dessert?,cake,What color are the flowers around the base of the cake?,purple,Where are the flowers positioned??,around the base
7c62ff9270399e0,What kind of dessert is shown in the image?,warm,What fruit has vibrant pink to red hues?,grapefruit,What color are the grapefruit segments?,pink,Where are the shredded coconut pieces distributed?,across the other fruits,What type of dish is the image showcasing??,dessert
a0c0fdbf255f180,What color is the ground beef?,dark brown,What type of meat is at the base of the dish?,beef,What color are the carrots?,orange,Where are the onions placed?,on top,How is the dish arranged??,layered
088b08b4122c1aa,What color is the elbow macaroni?,yellow,What type of meat is used in the dish?,beef,How is the elbow macaroni distributed in the dish?,scattered throughout,What color are the diced tomatoes?,red,What vegetable is present in chunks among the ingredients??,onion
d07311af812aff2,What color is the sauce on the pasta?,reddish-brown,What type of pasta is in the dish?,pasta,What color are the carrot slices?,orange,Where are the zucchini slices placed?,on top of,What vegetable is green and placed around the pasta??,zucchini
0090c1dc5195952,What color is the dish?,dark,What is the bottom layer of the dish?,meat,What color are the potatoes?,red,Where is the creamy white sauce spread?,across the surface,"What are the small, darker specks in the sauce??",mushrooms
6b074471fc80946,What color are the sweet potatoes?,aluminum,What is the color of the sweet potato chunks?,orange,What color are the Brussels sprouts?,sweet potato,What is the seasoning on the chicken?,green,What is the chicken served with??,with seasoning
f78cfd7265c82ed,What type of protein is included in the dish?,meat,What is the main type of food shown in the image?,dish,How is the cabbage arranged in the dish?,dispersed,What color are the diced vegetables that are orange?,orange,Where are the diced vegetables placed in relation to the cabbage??,among the cabbage
14112ed8b6b3d2e,What color is the ground beef mixture in the image?,brownish-gray,What type of meat is used in the dinner?,beef,What color are the peas in the image?,green,Where is the ground beef mixture located in the image?,in the image,What is sprinkled on top of the dinner??,sprinkled
a54017230155c36,What color are the chicken pieces?,pinkish,What type of meat is the main ingredient in the dish?,chicken,What color are the Brussels sprouts?,green,What cooking method is used for the chicken and Brussels sprouts?,roasting,Where are the Brussels sprouts located in relation to the chicken??,between the chicken
8a0bcefb7586524,What color is the skillet?,light blue,What is the dish cooked in?,skillet,What is the base of the dish made of?,mixture,What color is the mixture in the base?,reddish-brown,What is on top of the skillet??,on top of
a71c35d0672c896,What color is the cabbage on the plate?,red,What is the Passover dinner served on?,plate,What type of vegetable is reddish-brown and located on the bottom left?,potatoes,What color is the salmon on the plate?,orange,Where is the salmon located on the plate??,on the right
d848c2cdb7e970f,What color are the mashed potatoes?,yellow,What type of potatoes are used in the dish?,potatoes,How are the carrots prepared?,diced,What color are the diced carrots?,reddish orange,What is the color of the gravy??,in gravy
1ce8eb18c7dc885,What color is the bowl?,white,What is the dish served in?,bowl,What color is the ground meat?,brownish,What color are the green beans?,green,Where is the red sauce drizzled??,on top
fc1c5a52fefd799,What color is the sheet pan?,silver,What is the main protein in the dish?,lamb,What color are the herbs covering the lamb?,green,What type of vegetables are orange and purple?,carrots,Where are the roasted vegetables placed in relation to the lamb??,on a sheet
f456df17a49ef26,What type of beans are scattered throughout the dip?,beans,What is the state of the cheese on the dip?,melted,What color are the jalapeños on the dip?,green,Where is the dip being served?,in the skillet,What color are the slivered onions on the dip??,red
815cb6ddb76a191,What color are the roasted peppers?,reddish-orange,What is the dip served with?,dip,Where is the dip located in the image?,located in,How are the almonds arranged on the dip?,scattered,What type of nuts are scattered on the dip??,almonds
f739c153469d569,What color is the bowl?,white,What is the texture of the dip?,creamy,How are the carrot sticks arranged?,stacked,What vegetable is placed next to the bowl?,carrot,Where is the bowl located in the image??,at the top
71e6c5a9326cd45,What color is the bowl?,white,What is the Big Game Dip served in?,bowl,What is the dominant color of the dip?,orange,What texture does the dip have?,bubbly,Where is the dip placed??,in a white bowl
5431c60c3084df6,What color is the dip?,orange,What is the dip served in?,bowl,What is the consistency of the dip?,melted,Where is the bowl placed?,stove,Where is the bowl positioned??,on top of
775fe3f162edb83,What color is the bowl?,white,What does the salad consist of at the bottom?,consists of,What color is the lettuce?,green,What type of tomatoes are on the salad?,tomatoes,What color are the bacon bits??,brown
4565a1f53a2f682,What color is the black bean dip?,dark brown,What is the dip served in?,dip,Where does the lid of the pot rest?,rests on,What color is the melted cheese on the dip?,yellow,What is the dip contained within??,pot
fdf082e771671cc,What color is the dip?,orange,What type of meat is in the dip?,chicken,Is the dip hot or cold?,hot,What is the dip served in?,bowl,What surrounds the bowl of dip??,chips
3d7bb16977439c8,What is the main ingredient in the topping of the dip?,cheese,What color is the dish that contains the dip?,white,Where are the sliced cherry tomatoes located on the dip?,scattered across,What is the name of the dish in the image?,dip,What is the dip topped with??,is
deb17e4cb653805,What is the texture of the dip?,creamy,What is the dip served in?,bowl,What is used to decorate the top of the dip?,garnish,What color are the visible flecks in the dip?,green,Where is the bowl placed in the image??,in the center
