,Image,Question,Answer
27451,51f79bb597aad37,What is the Moroccan Carrot Dip served with,dip
27452,51f79bb597aad37,Where is the Moroccan Carrot Dip located,located in
27453,51f79bb597aad37,What is the Moroccan Carrot Dip served in,bowl
27454,51f79bb597aad37,How is the Moroccan Carrot Dip arranged in the bowl,piled
27460,d80b7a67c7576f4,What color are the octodogs,brown
27461,d80b7a67c7576f4,What are the octodogs placed on,plate
27462,d80b7a67c7576f4,What is the color of the spinach leaves,spinach
27463,d80b7a67c7576f4,What color are the smiles on the octodogs,yellow
27464,d80b7a67c7576f4,Where is the second octodog located relative to the first,to the left
27465,e597fd67f269eb7,What color are the corn dogs,golden
27466,e597fd67f269eb7,What type of food is shown in the image,corn dogs
27467,e597fd67f269eb7,How are the corn dogs positioned relative to each other,overlapping
27468,e597fd67f269eb7,What color is the surface of the corn dogs,brown
27469,e597fd67f269eb7,Where is the top corn dog placed,across the top
27470,960e4e84e621eba,What color is the exterior of the corn dogs,golden-brown
27471,960e4e84e621eba,What food item is shown in the image,corn dogs
27472,960e4e84e621eba,What color is the sausage inside the corn dogs,pink
27473,960e4e84e621eba,What is the color of the mustard in the bowl,of the corn dogs
27474,960e4e84e621eba,Where are the glass bowls located in relation to the corn dogs,yellow
27475,798ecdbca988618,What color is the plate,white
27476,798ecdbca988618,What color is the hot dog bun,bun
27477,798ecdbca988618,What color is the hot dog,yellow
27478,798ecdbca988618,What color are the caramelized onions,reddish-brown
27479,798ecdbca988618,Where are the caramelized onions placed,on the bun
27480,e9b1ea51fcd8b79,What is the texture of the filling,creamy
27481,e9b1ea51fcd8b79,What type of dessert is shown in the image,cake
27482,e9b1ea51fcd8b79,What color are the cake layers,brown
27483,e9b1ea51fcd8b79,Where is the filling located in the cake,centered
27484,e9b1ea51fcd8b79,Where is the Devil Dog positioned in the image,in the image
27485,5d636255c3e5dbf,What color are the bottom two potato dogs,brown
27486,5d636255c3e5dbf,What food item is being described,potato dogs
27487,5d636255c3e5dbf,What color is the sauce on the bottom two potato dogs,beige
27488,5d636255c3e5dbf,What is revealed by the top potato dog being cut in half,revealing
27489,5d636255c3e5dbf,Where is the top potato dog positioned,on top of
27490,4b79ce07a93ee19,What color is the hot dog,reddish-brown
27491,4b79ce07a93ee19,What animal is associated with the food,dog
27492,4b79ce07a93ee19,What color is the mustard,yellow
27493,4b79ce07a93ee19,Where is the mustard and relish located,near the left
27494,4b79ce07a93ee19,What form are the onions in,diced
27495,43caad53a369f75,What temperature is the food in the pan,hot
27496,43caad53a369f75,What is the food cooked in,pan
27497,43caad53a369f75,What color is the farfalle pasta,yellow
27498,43caad53a369f75,What color are the sliced hot dogs,reddish-brown
27499,43caad53a369f75,Where is the shredded cheddar cheese,on the top
27500,9f893ecfeca3a8b,What is the predominant color of the hot dog burnt ends,reddish-brown
27501,9f893ecfeca3a8b,What type of food is featured in the image,hot dog
27502,9f893ecfeca3a8b,How are the hot dog burnt ends arranged on the plate,piled
27503,9f893ecfeca3a8b,What color is the plate under the hot dog burnt ends,light green
27504,9f893ecfeca3a8b,Where is the bowl of yellowish-brown sauce located,with
27505,b09371ae989d65a,What color is the hot dog inside the top hot dog,brown
27506,b09371ae989d65a,What type of food is in the image,hot dog
27507,b09371ae989d65a,What does the bottom hot dog have on top of it,has
27508,b09371ae989d65a,Where is the ketchup on the bottom hot dog,on top
27509,b09371ae989d65a,What are the hot dogs placed on,plate
27510,4dbf8d8cda7d008,What color is the barbecue sauce,dark red
27511,4dbf8d8cda7d008,What type of meat is used in the sausage,chicken
27512,4dbf8d8cda7d008,What color is the bun,white
27513,4dbf8d8cda7d008,Where is the bacon-wrapped chicken dog located on the plate,on the lower left
27514,4dbf8d8cda7d008,What color are the bell pepper slices,green
27515,95ce142dd023da0,What color are the hot dogs,reddish-brown
27516,95ce142dd023da0,What type of food is served as the base of the dish,hot dogs
27517,95ce142dd023da0,What color is the melted cheese,yellow
27518,95ce142dd023da0,Where are the hot dog boats placed,on a plate
27519,95ce142dd023da0,What is the state of the cheese on the mashed potatoes,melted
27520,65ed1650fb7c40d,What color is the bowl,mauve
27521,65ed1650fb7c40d,What is the dish served in,bowl
27522,65ed1650fb7c40d,What color are the sliced hot dogs,red-brown
27523,65ed1650fb7c40d,Where are the sliced hot dogs placed,over the rice
27524,65ed1650fb7c40d,What color are the scallions,green
27525,fef5ecabaf86491,What color are the hot dogs,reddish-brown
27526,fef5ecabaf86491,Where are the hot dogs placed,placed
27527,fef5ecabaf86491,What is the hot dog placed on,board
27528,fef5ecabaf86491,What color is the sprig of herbs,green
27529,fef5ecabaf86491,What are the hot dogs served in,in buns
27530,410ebb859937740,What color are the crescent dogs,golden
27531,410ebb859937740,Where is the rectangular crescent dog located,located on
27532,410ebb859937740,What type of food are the crescent dogs made for,dogs
27533,410ebb859937740,What shape is the crescent dog on the left of the baking sheet,rectangular
27534,410ebb859937740,What texture do the crescent dogs have,flaky
27540,1ec0d49b7dbff10,What color is the bun,yellow
27541,1ec0d49b7dbff10,What type of food is in the center of the image,hotdog
27542,1ec0d49b7dbff10,What color is the hotdog,reddish-brown
27543,1ec0d49b7dbff10,Where are the diced tomatoes located,on top of
27544,1ec0d49b7dbff10,What color is the relish,green
27545,6527f502a771764,What is the emotional state of the dogs in the bowl,mad
27546,6527f502a771764,What animals are in the bowl,dogs
27547,6527f502a771764,What color are the mad dogs,reddish-brown
27548,6527f502a771764,What is the color of the bacon wrapped around the mad dogs,with a mix
27549,6527f502a771764,What is the mad dogs placed in,bowl
27550,5439baa8a5152be,What color is the ginger in the glass,brown
27551,5439baa8a5152be,What is the piece on top of the ice made of,ginger
27552,5439baa8a5152be,What is the ginger sitting in,glass
27553,5439baa8a5152be,What color is the ginger in the glass,light
27554,5439baa8a5152be,Where is the piece of ginger located in the glass,on top of
27555,c9faf6e126e49f2,What color is the frosting on the bottom layer of donuts,pink
27556,c9faf6e126e49f2,What color is the glaze on the top layer of donuts,frosting
27557,c9faf6e126e49f2,What color are the donuts themselves,golden brown
27558,c9faf6e126e49f2,What type of dessert is shown in the image,donuts
27559,c9faf6e126e49f2,Where are the donuts placed,on a plate
27560,06cc7e996e32a8b,What color is the plate,blue
27561,06cc7e996e32a8b,What type of food is shown in the image,donut
27562,06cc7e996e32a8b,What color are the donut holes,golden
27563,06cc7e996e32a8b,Where are the donut holes placed,on a blue plate
27564,06cc7e996e32a8b,What is on top of the donut holes,glaze
27565,7a7d0369a0d38fa,What color are the donuts,brown
27566,7a7d0369a0d38fa,What are the donuts topped with,topped
27567,7a7d0369a0d38fa,What type of pastry is shown in the image,donuts
27568,7a7d0369a0d38fa,What type of nuts are used as toppings,almonds
27569,7a7d0369a0d38fa,Where are the donuts placed,on a wire rack
27570,6bffffd5bb8f208,What type of food is featured in the image,donut
27571,6bffffd5bb8f208,What is the donut hole covered with,coated
27572,6bffffd5bb8f208,What appliance was used to cook the donut holes,air fryer
27573,6bffffd5bb8f208,Where are the donut holes placed,in dark green dish
27574,6bffffd5bb8f208,What spice is mixed with the sugar coating,cinnamon
27575,b6dfb94274ecafb,What is the coffee creamer contained in,contained
27576,b6dfb94274ecafb,What is the maple glaze contained in,bottle
27577,b6dfb94274ecafb,What color is the maple glaze,reddish-brown
27578,b6dfb94274ecafb,Where is the maple glaze bottle located,right of the creamer
27579,b6dfb94274ecafb,What is the texture of the maple glaze,glaze
27585,28f7678b35cb574,What color is the powdered sugar on the donuts,white
27586,28f7678b35cb574,What type of dessert is shown in the image,donuts
27587,28f7678b35cb574,What color is the frosting on some of the donuts,chocolate
27588,28f7678b35cb574,What are the sprinkles on the donuts like,colorful
27589,28f7678b35cb574,Where are the donuts with white powdered sugar located,on the left side
27590,c81748a9b30eafe,How were the donut sticks cooked,air fry
27591,c81748a9b30eafe,What is the shape of the donuts,donut sticks
27592,c81748a9b30eafe,What is the texture of the donut sticks,coated
27593,c81748a9b30eafe,What color is the sauce in the bowl,red
27594,c81748a9b30eafe,Where is the donut stick partially submerged,in the sauce
27595,c370cfb3230c6a3,What fruit is used to flavor the donuts,lemon
27596,c370cfb3230c6a3,What type of dessert is shown in the image,donuts
27597,c370cfb3230c6a3,What color is the exterior of the donuts,golden-brown
27598,c370cfb3230c6a3,What color is the plate the donuts are served on,white
27599,c370cfb3230c6a3,Where are the donuts placed,on a plate
27600,86e3bea5fab3dee,What flavor are the donuts,chocolate
27601,86e3bea5fab3dee,What color is the donut in the foreground,brown
27602,86e3bea5fab3dee,What type of dessert is shown in the image,donuts
27603,86e3bea5fab3dee,What is on the surface of the donut in the foreground,glaze
27604,86e3bea5fab3dee,Where is the donut in the foreground positioned,in the foreground
27610,3b4da6558d991f6,What is the primary flavor of the donuts,chocolate
27611,3b4da6558d991f6,What color are the sprinkles on some donuts,red
27612,3b4da6558d991f6,What flavor do the peppermint pieces add to the donuts,peppermint
27613,3b4da6558d991f6,How are the donuts arranged,arranged
27614,3b4da6558d991f6,Where are the donuts positioned in the image,in the foreground
27615,ebba2cf99616db0,What style of donuts are shown,old-fashioned
27616,ebba2cf99616db0,What type of food is displayed,donuts
27617,ebba2cf99616db0,What color is the wire rack,black
27618,ebba2cf99616db0,What color are the plain donuts,golden-brown
27619,ebba2cf99616db0,Where are the donuts placed,on a black wire rack
27620,0c4ada3c0633da8,What color are the donuts,golden
27621,0c4ada3c0633da8,What type of food is shown in the image,donuts
27622,0c4ada3c0633da8,How are the donuts arranged on the plate,cluster
27623,0c4ada3c0633da8,Are the donuts positioned in a way that they cover parts of each other,overlapping
27624,0c4ada3c0633da8,Where are the donuts placed in relation to each other,in a cluster
27625,cbe97237545a72e,What is the flavor of the donuts,sour
27626,cbe97237545a72e,What type of food is shown in the image,donuts
27627,cbe97237545a72e,What color are the sides of the donuts,golden-brown
27628,cbe97237545a72e,Where are the donuts placed,on a wire rack
27629,cbe97237545a72e,What color is the interior of the broken donut,yellow
27630,440d62a96ab9ad1,What color are the donuts,brown
27631,440d62a96ab9ad1,What type of food is shown,donuts
27632,440d62a96ab9ad1,What color is the plate,white
27633,440d62a96ab9ad1,What color is the outer layer of the donuts,golden
27634,440d62a96ab9ad1,Where are the donuts placed,on a plate
27645,1cef53c664456c6,What color are the donuts,tan
27646,1cef53c664456c6,What type of food is shown in the image,donuts
27647,1cef53c664456c6,What color is the plate,red
27648,1cef53c664456c6,Where are the donuts placed,on a red rectangular plate
27649,1cef53c664456c6,How does the glaze on the donuts appear,shiny
27650,9c72d55fe93d4dd,What color is the cookie dough,brown
27651,9c72d55fe93d4dd,What is the main ingredient in the dough,cookie dough
27652,9c72d55fe93d4dd,Are the chocolate chips scattered around the bowls,scattered
27653,9c72d55fe93d4dd,What color are the bowls,white
27654,9c72d55fe93d4dd,Where is the bowl in the foreground located,on the right
27655,c7cc1dedc2e75c7,What color is the pastry in the upper-left,tan
27656,c7cc1dedc2e75c7,What type of food is shown in the image,pastries
27657,c7cc1dedc2e75c7,"How are the pastries in the upper-right, upper-left, and center arranged",arranged
27658,c7cc1dedc2e75c7,Where is the pastry in the lower-left positioned compared to the others,lower
27659,c7cc1dedc2e75c7,Where is the tan pastry located,in the upper-left
27660,4f99468e5720e02,How are the cookie dough pieces arranged around the ice cream,distributed
27661,4f99468e5720e02,What is the main dessert in the image,ice cream
27662,4f99468e5720e02,What is the shade of the cookie dough pieces,tan
27663,4f99468e5720e02,Where are some of the cookie dough pieces located in relation to the ice cream,embedded within
27664,4f99468e5720e02,How do the sizes and shapes of the cookie dough pieces differ,vary
27670,cb22d0e9aa93532,What color is the fried dough,golden-brown
27671,cb22d0e9aa93532,What is the main ingredient of the food,dough
27672,cb22d0e9aa93532,What is the light-colored granular topping likely to be,sugar
27673,cb22d0e9aa93532,Where is one dough positioned in the frame,in the lower left corner
27674,cb22d0e9aa93532,How are the other dough arranged in the background,scattered
27675,31fb13aaf1df9a2,What type of food is shown in the image,empanadas
27676,31fb13aaf1df9a2,How are the empanadas arranged on the plate,scattered
27677,31fb13aaf1df9a2,What color is the paler empanada,tan
27678,31fb13aaf1df9a2,What color is the surface the empanadas are placed on,white
27679,31fb13aaf1df9a2,Where is the empanada at the top left positioned,off the plate
27680,bce8f29b56b6608,What is the taste of the Cajun sweet dough,sweet
27681,bce8f29b56b6608,What color is the filling inside the cut-open dough,red
27682,bce8f29b56b6608,What is the white substance covering the dough,dusted
27683,bce8f29b56b6608,What is visible inside the cut-open dough,revealing
27684,bce8f29b56b6608,Where is the front piece of dough located in the image,on the left
27685,d6f6740bc19ff7b,What color are the cookies,beige
27686,d6f6740bc19ff7b,What type of baked goods are shown in the image,cookies
27687,d6f6740bc19ff7b,How are the cookies arranged,arranged
27688,d6f6740bc19ff7b,Where are the cookies placed,on the wire rack
27689,d6f6740bc19ff7b,What type of cookie is on the top right side,pumpkin
27690,46656a6218de045,What color is the strudel dough,golden
27691,46656a6218de045,What type of pastry is shown in the image,strudel
27692,46656a6218de045,What color is the apple filling inside the strudel,brown
27693,46656a6218de045,What is drizzled on the strudel dough,with caramel
27694,46656a6218de045,Where is the piece of strudel that is cut off located,on the bottom
27695,0524c20a71ecd6e,What is the flavor of the dough,sweet
27696,0524c20a71ecd6e,What is the main ingredient used to make the food,dough
27697,0524c20a71ecd6e,What is the color of the dough in some areas,golden
27698,0524c20a71ecd6e,What is the color of the crumbly topping on the dough,light brown
27699,0524c20a71ecd6e,Where are the red raspberries scattered,across the dough
27700,578ba816460a2b1,What color is the dough in the bowl on the left,golden
27701,578ba816460a2b1,What are the dough pieces placed in,bowls
27702,578ba816460a2b1,What are the toppings on the dough in the bowl on the right,sesame
27703,578ba816460a2b1,What color is the dough without toppings,brown
27704,578ba816460a2b1,Where is the bowl with plain dough located,on the left
27705,648037791b8b592,What color are the cookies in the image,light tan
27706,648037791b8b592,What type of food is shown in the image,cookies
27707,648037791b8b592,What are some of the cookies containing,containing
27708,648037791b8b592,What color are the cranberries in the cookies,red
27709,648037791b8b592,Where are the cookies placed in the image,on the rack
27710,3231085fdff70cf,What is the dough doing to the toppings,supporting
27711,3231085fdff70cf,What color is the outer crust of the pizza dough,beige
27712,3231085fdff70cf,What color is the interior of the pizza dough,golden-brown
27713,3231085fdff70cf,What is the base of the pizza made of,dough
27714,3231085fdff70cf,Where are the toppings located on the pizza,on the interior
27715,6b3d266aac47e57,What color is the phyllo dough,pale
27716,6b3d266aac47e57,What is the phyllo dough made of,dough
27717,6b3d266aac47e57,How are the sheets of dough arranged,stacked
27718,6b3d266aac47e57,What color describes the dough's appearance,off-white
27719,6b3d266aac47e57,Where are the sheets of dough placed,on top of
27720,7f1d3a2f945529d,What color are the beignets,golden brown
27721,7f1d3a2f945529d,What type of food is shown in the image,beignets
27722,7f1d3a2f945529d,What color is the powdered sugar,white
27723,7f1d3a2f945529d,Where are the beignets placed,on top of
27724,7f1d3a2f945529d,What does the powdered sugar do around the base of the pile,spills
27725,ee6606654c0e6b3,What color is the icing on the doughnuts,pink
27726,ee6606654c0e6b3,What is on top of the doughnuts,sprinkled
27727,ee6606654c0e6b3,What colors are the sprinkles on the doughnuts,colorful
27728,ee6606654c0e6b3,What color is the base of the doughnuts,golden-brown
27729,ee6606654c0e6b3,Where is the second doughnut positioned,to the right
27730,e16aa6c63fcaf5f,What flavor are the doughnuts,pumpkin
27731,e16aa6c63fcaf5f,Where is one doughnut positioned in the image,positioned
27732,e16aa6c63fcaf5f,What color are the doughnuts,golden
27733,e16aa6c63fcaf5f,What color is the glaze on the doughnuts,white
27734,e16aa6c63fcaf5f,Where is another doughnut located in the image,on the top-center
27735,9b22b310b855b06,What color is the muffin's body,golden-brown
27736,9b22b310b855b06,What type of baked good is shown in the image,muffin
27737,9b22b310b855b06,What color is the sugar coating on the muffin,white
27738,9b22b310b855b06,Where is the muffin placed,on a light brown plate
27739,9b22b310b855b06,What is the top of the muffin coated with,sugar-coated
27740,d7393f38f7428ae,What color is the plate,orange
27741,d7393f38f7428ae,What is the texture of the doughnut on the left,glazed
27742,d7393f38f7428ae,What is the doughnut on the right covered in,coated
27743,d7393f38f7428ae,What is the light brown coating on the doughnut on the right,sugar
27744,d7393f38f7428ae,Where is the glazed doughnut located in relation to the sugar coated one,to the top
27755,6b13dca03e2905a,What color is the doughnut in the foreground,golden-brown
27756,6b13dca03e2905a,What type of food is shown in the image,doughnut
27757,6b13dca03e2905a,What is the doughnut in the foreground covered with,sugar
27758,6b13dca03e2905a,What is the doughnut in the foreground covered with,covered with
27759,6b13dca03e2905a,Where is the doughnut in the foreground located,located
27760,6a37d7c2c5465e1,What color are the doughnuts,golden-brown
27761,6a37d7c2c5465e1,How are the doughnuts arranged,stacked
27762,6a37d7c2c5465e1,What color is the powdered sugar on the doughnuts,white
27763,6a37d7c2c5465e1,Where is the powdered sugar located,on top
27764,6a37d7c2c5465e1,What are the doughnuts placed on,plate
27770,8d94d62af5a0159,What color is the plate,white
27771,8d94d62af5a0159,What type of food is shown in the image,doughnuts
27772,8d94d62af5a0159,What is the doughnuts covered with,powdered
27773,8d94d62af5a0159,What is the underlying color of the doughnuts,light
27774,8d94d62af5a0159,Where are the doughnuts placed,on a plate
27775,eb4015d95ad9664,What color is the front doughnut,golden-brown
27776,eb4015d95ad9664,What type of food is shown,doughnut
27777,eb4015d95ad9664,What color is the powdered sugar,white
27778,eb4015d95ad9664,Where are the doughnuts placed,on a white surface
27779,eb4015d95ad9664,What is the powdered sugar doing on the doughnuts,dripping
27780,0ff4a3befbf0e26,What color are the mochi doughnuts,brown
27781,0ff4a3befbf0e26,What type of dessert is shown in the image,doughnuts
27782,0ff4a3befbf0e26,How is the white icing applied to the doughnuts,drizzled
27783,0ff4a3befbf0e26,How are the seven doughnuts positioned on the metal cooling rack,arranged
27784,0ff4a3befbf0e26,Where are the seven doughnuts placed,on a metal cooling rack
27785,26a6a3cfaeb5b57,What color are the doughnuts,golden-brown
27786,26a6a3cfaeb5b57,What type of food is shown in the image,doughnuts
27787,26a6a3cfaeb5b57,What spice is used to coat the doughnuts,cinnamon
27788,26a6a3cfaeb5b57,Where are the doughnuts placed,on a plate
27789,26a6a3cfaeb5b57,Which side of the plate has a doughnut,left
27790,69493e13456d72e,What is the origin of the doughnuts,Russian
27791,69493e13456d72e,What color are the doughnuts,golden-brown
27792,69493e13456d72e,What is on top of each doughnut,sprinkled
27793,69493e13456d72e,Where are the doughnuts placed,plate
27794,69493e13456d72e,Where are the doughnuts located,on a plate
27795,f8146bb2918cba7,What color are the doughnuts,brown
27796,f8146bb2918cba7,How are the doughnuts organized,arranged
27797,f8146bb2918cba7,What type of food is shown in the image,doughnuts
27798,f8146bb2918cba7,Where is one doughnut placed in relation to another,on top
27799,f8146bb2918cba7,What color is the plate the doughnuts are on,white
27800,7cae2872430eda1,What color are the doughnuts,golden-brown
27801,7cae2872430eda1,What type of food is shown in the image,doughnuts
27802,7cae2872430eda1,What color is the powdered sugar on the doughnuts,white
27803,7cae2872430eda1,Where are the three doughnuts placed,on top of
27804,7cae2872430eda1,What are the doughnuts resting on,platter
27805,2c8472f6bfb31bb,What color are the doughnuts,golden-brown
27806,2c8472f6bfb31bb,Where are the doughnuts placed,sitting on
27807,2c8472f6bfb31bb,What color is the plate,white
27808,2c8472f6bfb31bb,What is the flavor of the doughnuts,applesauce
27809,2c8472f6bfb31bb,What does the image show,shows
27825,ac07ae8f9b391d7,What color is the creamy salad dressing,creamy
27826,ac07ae8f9b391d7,What type of dish is being described,salad
27827,ac07ae8f9b391d7,What color is the salad dressing,beige
27828,ac07ae8f9b391d7,Where is the salad dressing scattered,throughout
27829,ac07ae8f9b391d7,What ingredient is white and visible in the salad,onion
27835,b182e894271055f,What is the color of the Homestyle Garlic Ranch Dressing,white
27836,b182e894271055f,How is the Homestyle Garlic Ranch Dressing applied to the salad,drizzled
27837,b182e894271055f,What type of dish is the Homestyle Garlic Ranch Dressing added to,salad
27838,b182e894271055f,What color is the tomato in the salad,red
27839,b182e894271055f,Where is the Homestyle Garlic Ranch Dressing located in the salad,on top of
27840,1b642f9212ff72d,What color is the Russian Salad Dressing,orange-beige
27841,1b642f9212ff72d,What type of container holds the Russian Salad Dressing,bowl
27842,1b642f9212ff72d,Where is the bowl of Russian Salad Dressing placed,lettuce
27843,1b642f9212ff72d,What is the bowl of Russian Salad Dressing sitting on,on a bed
27844,1b642f9212ff72d,What color is the spoon resting on the lettuce leaves,silver
27845,ba2392469f1dd0f,How is the lemon-parmesan salad dressing applied to the salad,drizzled
27846,ba2392469f1dd0f,What is the main dish being served on the plate,salad
27847,ba2392469f1dd0f,What color is the plate used for the salad,white
27848,ba2392469f1dd0f,What type of dressing is used for the salad,lemon-parmesan
27849,ba2392469f1dd0f,Where is the glass jar filled with dressing located,to the upper right
27855,449a1255eb51499,What color is the cucumber dressing,green
27856,449a1255eb51499,What is the cucumber dressing contained in,dressing
27857,449a1255eb51499,What is the cucumber dressing,is
27858,449a1255eb51499,What is the pitcher made of,pitcher
27859,449a1255eb51499,Where is the pitcher positioned,on a wooden cutting board
27860,c2819f559afce66,What color is the raspberry salad dressing,pink
27861,c2819f559afce66,What is the raspberry salad dressing contained in,bowl
27862,c2819f559afce66,What fruit is the salad dressing made from,raspberry
27863,c2819f559afce66,What is the texture of the raspberry salad dressing,creamy
27864,c2819f559afce66,Where is the bowl located in the image,in the lower-center
27865,fdf4cbf9533f0f7,What is the color of the Nonna's Tuscan Salad Dressing,creamy
27866,fdf4cbf9533f0f7,What type of dish is the Nonna's Tuscan Salad Dressing served with,salad
27867,fdf4cbf9533f0f7,What color is the plate the salad is served on,white
27868,fdf4cbf9533f0f7,What color are the bell peppers in the salad,red
27869,fdf4cbf9533f0f7,Where is the salad placed,on a plate
27875,ea595ff2710b040,What color is the salad dressing,light
27876,ea595ff2710b040,What is the spoon scooping,dressing
27877,ea595ff2710b040,What color are the flecks in the dressing,black
27878,ea595ff2710b040,Where is the glass jar located,on the left
27879,ea595ff2710b040,What color are the salad leaves,green
27880,266f99407c00853,What type of Thanksgiving dish is this,classic
27881,266f99407c00853,What is the main ingredient in the dish,bread
27882,266f99407c00853,What color are the diced celery pieces,green
27883,266f99407c00853,What herb is scattered throughout the dish,with parsley
27884,266f99407c00853,What color are the onion pieces,white
27885,77fb3a75f18aab6,What color is the bowl that contains the dressing,beige
27886,77fb3a75f18aab6,What does the dressing do in the bowl,fills
27887,77fb3a75f18aab6,What color is the bowl that holds the dressing,blue
27888,77fb3a75f18aab6,What color are the speckles in the dressing,green
27889,77fb3a75f18aab6,Where is the sprig of cilantro located,on the upper right side
27890,2167110ee53eb48,How is the soy-sesame dressing applied to the salad,drizzled
27891,2167110ee53eb48,What color is the soy-sesame dressing,light brown
27892,2167110ee53eb48,What color are the lettuce leaves,green
27893,2167110ee53eb48,What are the green leaves in the salad,lettuce
27894,2167110ee53eb48,Where is the soy-sesame dressing drizzled,over the salad
27895,d5357d407dd8c26,What is the jar made of,clear
27896,d5357d407dd8c26,What type of jar is the coleslaw dressing in,jar
27897,d5357d407dd8c26,What color is the coleslaw dressing,yellow
27898,d5357d407dd8c26,Where is the coleslaw dressing positioned in the image,on the right side
27899,d5357d407dd8c26,What food item is in the jar,coleslaw
27900,2674b09628d24ff,What does the chicken dressing occupy in the image,occupies
27901,2674b09628d24ff,What shape is the baking dish in the image,rectangular
27902,2674b09628d24ff,What color is the top layer of the chicken dressing,golden-brown
27903,2674b09628d24ff,What color is the lighter part of the top layer of the chicken dressing,yellow
27904,2674b09628d24ff,Where is the white sauce distributed in the image,of white sauce
27905,1a455536782c217,What is the texture of the dressing,smooth
27906,1a455536782c217,What is the dressing served in,pitcher
27907,1a455536782c217,What color is the dressing,orange-red
27908,1a455536782c217,Where does the salad sit,sits on
27909,1a455536782c217,What is the main ingredient of the salad,pasta
27910,0fd0dca3f8094ca,How is the dressing applied over the salad,drizzled
27911,0fd0dca3f8094ca,Where is the dressing primarily presented,jar
27912,0fd0dca3f8094ca,What color is the cashew salad dressing,beige
27913,0fd0dca3f8094ca,What type of dish is the dressing used on,salad
27914,0fd0dca3f8094ca,Where is the drizzled dressing located,on top of
27915,cf1a3ad5e24482a,What is the color of the salad dressing,is
27916,cf1a3ad5e24482a,What type of dish is the dressing used for,salad
27917,cf1a3ad5e24482a,What color is the dairy-free salad dressing,white
27918,cf1a3ad5e24482a,Where is the rest of the dressing placed,on top of
27919,cf1a3ad5e24482a,What are the green specks in the dressing,herbs
27920,87fa9f955d77e9e,Is the container transparent,transparent
27921,87fa9f955d77e9e,What type of container is the dressing in,container
27922,87fa9f955d77e9e,What color is the Balsamic Vinegar and Olive Oil Dressing,yellow-orange
27923,87fa9f955d77e9e,What portion of the container does the dressing fill,fills
27924,87fa9f955d77e9e,In which portion of the container is the dressing located,in the bottom portion
27925,944097d032720ab,What is the color of the poppy seed dressing in the jar,creamy
27926,944097d032720ab,What type of dressing is in the jar,poppy seed dressing
27927,944097d032720ab,What color is the poppy seed dressing,white
27928,944097d032720ab,What is the poppy seed dressing drizzled on,with
27929,944097d032720ab,What is the poppy seed dressing served with,salad
27930,6ef96df34fe7c0d,What word describes the dressing in the image,magical
27931,6ef96df34fe7c0d,What color is the dressing in the jar,brown
27932,6ef96df34fe7c0d,What is the dressing stored in,jar
27933,6ef96df34fe7c0d,What is the dressing doing inside the jar,filling
27934,6ef96df34fe7c0d,Where is the jar positioned in the image,in the center-left
27935,e79fcd7b50dc50a,What is the texture of the lemon tahini dressing,creamy
27936,e79fcd7b50dc50a,What is the lemon tahini dressing contained in,pitcher
27937,e79fcd7b50dc50a,What color is the lemon tahini dressing,off-white
27938,e79fcd7b50dc50a,How much of the pitcher does the dressing fill,fills
27939,e79fcd7b50dc50a,Where is the glass pitcher located in the image,in the lower left
27940,d6c8b2687c42953,What is the main flavor of the dressing in the bowl,dressing
27941,d6c8b2687c42953,What cuisine does the dressing mix belong to,Italian
27942,d6c8b2687c42953,What color is the bowl containing the dressing mix,white
27943,d6c8b2687c42953,What color is the Italian Dressing Mix,green
27944,d6c8b2687c42953,What is the texture of the Italian Dressing Mix,mix
27945,800418212c99078,What color is the bowl that contains the Korean-Style Salad Dressing,dark brown
27946,800418212c99078,Where is the Korean-Style Salad Dressing located,located in
27947,800418212c99078,What color is the bowl in the center of the plate,white
27948,800418212c99078,What is the Korean-Style Salad Dressing surrounded by,surrounded
27949,800418212c99078,What type of lettuce surrounds the Korean-Style Salad Dressing,lettuce
27955,81c5482222f8d18,What is the color of the sesame seeds in the dressing,dark
27956,81c5482222f8d18,What material is the serving dish made of,glass
27957,81c5482222f8d18,What is the Easy Sesame Dressing contained within,is
27958,81c5482222f8d18,What is the color of the Easy Sesame Dressing,brownish-black
27959,81c5482222f8d18,Where is the glass serving dish positioned in the image,to the left
27960,a46e3d3ef3f8100,What is the consistency of the Thai Peanut Dressing,thick
27961,a46e3d3ef3f8100,What type of nuts are sprinkled on the dressing,peanuts
27962,a46e3d3ef3f8100,What is scattered over the central part of the dressing,sprinkled
27963,a46e3d3ef3f8100,What color is the Thai Peanut Dressing,brown
27964,a46e3d3ef3f8100,Where are the chopped peanuts sprinkled,over the central part
27965,9c9ad16791f47c0,How would you describe the color of the mandarin oranges,bright
27966,9c9ad16791f47c0,Where are the mandarin oranges located,located on
27967,9c9ad16791f47c0,What type of oranges are shown in the image,mandarin oranges
27968,9c9ad16791f47c0,What is the dressing made of,dressing
27969,9c9ad16791f47c0,What color is the mandarin orange ginger dressing,yellow
27970,739badaaafb81cd,How does the salad dressing appear on the salad,drizzled
27971,739badaaafb81cd,What type of dish is shown in the image,salad
27972,739badaaafb81cd,How would you describe the color of the salad dressing,vibrant
27973,739badaaafb81cd,What is one of the main greens in the salad,lettuce
27974,739badaaafb81cd,Where is the salad dressing drizzled,over various
27980,2ce1d9a8c165206,What is the lemon dressing contained in,dressing
